"","logFC","logCPM","PValue","FDR","woundCtrl","phyB.R_Avg_CPM","WT.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA06000897",1.48476422551091,8.16778953920479,0.000213285350237818,0.00961923040900645,FALSE," 29.93563"," 83.46606","BraA06000897","AT1G51610","AT1G51610","Cation efflux family protein","-","-"
"BraA03000261",1.08327290984536,4.47205163132715,0.000214387902120951,0.00964133022681079,FALSE,"11.639198","24.684684","BraA03000261","AT5G06390","FLA17","FASCICLIN-like arabinogalactan protein 17 precursor","-","-"
"BraA06000198",8.11624529693678,3.69038518068892,0.000220256697740093,0.00987698790248414,FALSE," 0.22820024","68.78728005","BraA06000198","AT5G45890","SAG12","senescence-associated gene 12","-","YES"
"BraA06004093",2.64276472151958,0.594120893221427,0.00023074732852936,0.010202143120933,FALSE," 0.6093761"," 3.8138785","BraA06004093","AT3G29670","PMAT2","HXXXD-type acyl-transferase family protein","-","-"
"BraA09005783",1.21136263451169,6.27710078874481,0.000234087545665027,0.010310456390578,FALSE," 23.373899"," 53.823759","BraA09005783","AT5G43745","AT5G43745","ion channel POLLUX-like protein, putative (DUF1012)","-","-"
"BraA02004321",1.78550479112448,2.09025897284687,0.00025173082968626,0.0107668042396875,FALSE," 3.707763","13.091950","BraA02004321","AT5G62165","AGL42","AGAMOUS-like 42","YES","YES"
"BraA01000616",1.42592387300675,6.381870105166,0.000252411103204871,0.0107668042396875,FALSE," 25.88334"," 69.63124","BraA01000616","AT4G32340","AT4G32340","Tetratricopeptide repeat (TPR)-like superfamily protein","-","YES"
"BraA06003555",1.49402303015244,4.37451836747304,0.00028448385109323,0.0119726626101803,FALSE," 19.258553"," 54.763841","BraA06003555","AT5G23750","AT5G23750","Remorin family protein","-","-"
"BraA04001735",1.8176050391659,4.26922989734103,0.000293405823062489,0.0122824671675627,FALSE," 12.76846"," 45.11638","BraA04001735","AT2G23790","AT2G23790","calcium uniporter (DUF607)","-","-"
"BraA10000631",1.01703145035373,6.26823499701672,0.000309439192322923,0.0127169004886757,FALSE," 36.95837"," 74.90482","BraA10000631","AT1G47710","SERPIN1","Serine protease inhibitor (SERPIN) family protein","-","-"
"BraA09005650",1.76280154510712,5.94920973086566,0.00032660690509437,0.0132837020314868,FALSE,"  5.334821"," 18.095225","BraA09005650","AT3G63520","CCD1","carotenoid cleavage dioxygenase 1","-","-"
"BraA09006946",1.26718125959667,2.69882780652579,0.000330692295596066,0.0134151977646445,FALSE," 5.944262","14.499336","BraA09006946","AT1G02860","NLA","SPX (SYG1/Pho81/XPR1) domain-containing protein","-","-"
"BraA02001377",1.00029589513902,4.35736821686975,0.000346231805349522,0.0138316969954352,FALSE," 16.21950"," 32.31911","BraA02001377","AT5G56870","BGAL4","beta-galactosidase 4","-","-"
"BraA02004275",1.83626235359275,2.56670799594579,0.000386064693780229,0.0150049760928409,FALSE,"1.221647","4.431890","BraA02004275","AT5G61560","AT5G61560","U-box domain-containing protein kinase family protein","-","-"
"BraA05002288",1.10704650516117,6.12463363552613,0.000419711572943937,0.0159186991762351,FALSE," 28.75509"," 62.04180","BraA05002288","AT1G33970","AT1G33970","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA02002466",1.09449233464441,7.69727362721598,0.00042881951963821,0.0161199131934467,FALSE," 91.99111","197.73960","BraA02002466","AT1G75380","BBD1","bifunctional nuclease in basal defense response 1","-","-"
"BraA05004634",4.16153736231337,-1.47309893001665,0.000434751330231607,0.0162928236615369,FALSE," 0.02488112"," 0.70438435","BraA05004634","AT3G02610","AT3G02610","plant stearoyl-acyl-carrier desaturase family protein","-","-"
"BraA03004626",2.36734193882487,6.70183864093571,0.000455136672900049,0.0168478891751085,FALSE," 13.99757"," 71.91083","BraA03004626","AT5G23240","AT5G23240","DNAJ heat shock N-terminal domain-containing protein","-","-"
"BraA10001614",1.05987662885918,5.22488098618135,0.000482286971040224,0.0176129859029539,FALSE,"23.16432","48.23096","BraA10001614","AT5G22740","CSLA02","cellulose synthase-like A02","-","-"
"BraA07002007",1.23611300061091,4.2438168397024,0.000520443564653346,0.0187026979626568,FALSE," 3.310716"," 7.863063","BraA07002007","AT3G55880","SUE4","Alpha/beta hydrolase related protein","-","-"
"BraA03003911",1.21237792011234,5.17902376373786,0.00053813336191224,0.0192725748515544,FALSE," 7.471165","17.139605","BraA03003911","AT3G14840","AT3G14840","Leucine-rich repeat transmembrane protein kinase","-","-"
"BraA09006445",1.63079157001348,4.40451580723613,0.000553674873377388,0.0196723307154855,FALSE," 8.088192","25.126804","BraA09006445","AT1G12110","NRT1.1","nitrate transporter 1.1","-","-"
"BraA02004156",5.39332292125366,-1.87398788233497,0.000599305959264321,0.0207320347226822,FALSE,"0.0000000","0.4738762","BraA02004156","AT2G30770","CYP71A13","cytochrome P450 family 71 polypeptide","-","-"
"BraA09005792",1.54566565140507,3.98147757068127,0.000619550890290602,0.0211994152460306,FALSE," 5.8543866","17.0086137","BraA09005792","AT2G22610","AT2G22610","Di-glucose binding protein with Kinesin motor domain-containing protein","-","-"
"BraA02003402",1.0224389149846,3.76588866055591,0.000639288138556995,0.021639559786854,FALSE," 6.1322552","12.4463119","BraA02003402","AT2G02130","LCR68","low-molecular-weight cysteine-rich 68","-","-"
"BraA06004900",1.11669841401697,3.06266327135879,0.000667758774904242,0.0222680574512559,FALSE," 4.958738","10.788800","BraA06004900","AT1G56130","AT1G56130","Leucine-rich repeat transmembrane protein kinase","-","-"
"BraA03005827",1.13678551680426,3.73189245922554,0.000703119882662223,0.0230085383640403,FALSE," 9.8944506","21.8687212","BraA03005827","AT4G28700","AMT1;4","ammonium transporter 1;4","-","-"
"BraA10002732",1.44233934241693,2.90437058699484,0.000773381565515861,0.0246917359862468,FALSE," 5.0011694","13.4454077","BraA10002732","AT5G06860","PGIP1","polygalacturonase inhibiting protein 1","-","-"
"BraA01000225",1.06632442524076,3.00088660246366,0.000780536183770352,0.0247694345414221,FALSE," 6.631101","13.928685","BraA01000225","AT4G36710","HAM4","GRAS family transcription factor","YES","YES"
"BraA09005543",1.43233960935452,3.2247676476742,0.000831197868583892,0.0260534383871673,FALSE," 3.1951857"," 8.7265183","BraA09005543","AT3G63110","IPT3","isopentenyltransferase 3","-","-"
"BraA10001625",2.19311359703636,1.90895470907533,0.00084923300647499,0.0264076041141404,FALSE," 2.428928","11.027825","BraA10001625","AT5G22500","FAR1","fatty acid reductase 1","-","-"
"BraA02003146",1.28521548601932,6.24331937309871,0.000852291162006565,0.0264076041141404,FALSE,"  9.191832"," 22.124686","BraA02003146","AT5G46600","AT5G46600","aluminum activated malate transporter family protein","-","-"
"BraA10003178",3.31591319261347,-0.577978941590217,0.000890720120736533,0.0272333753341962,FALSE," 0.04976223"," 0.66855183","BraA10003178","AT5G01490","CAX4","cation exchanger 4","-","-"
"BraA06004497",1.44385378680596,5.09210131085615,0.000939961103601038,0.0282347094860312,FALSE,"14.58485","39.35357","BraA06004497","AT2G01890","PAP8","purple acid phosphatase 8","-","-"
"BraA02004114",2.34759097448037,4.76866899642304,0.00100963499621901,0.0297276423667621,FALSE,"10.898327","54.924200","BraA02004114","AT5G25460","DGR2","transmembrane protein, putative (Protein of unknown function, DUF642)","-","-"
"BraA09000780",1.76714555398469,8.22800025275349,0.0010429489655928,0.0305327964621178,FALSE," 43.50674","147.50163","BraA09000780","AT5G62360","AT5G62360","Plant invertase/pectin methylesterase inhibitor superfamily protein","-","-"
"BraA05003080",1.36831864529266,3.43247376537792,0.00107681553508178,0.0311878392004122,FALSE," 3.167908"," 8.177113","BraA05003080","AT3G19660","AT3G19660","hypothetical protein","-","-"
"BraA09004086",1.21062852881282,5.36534787856201,0.00108901406288801,0.0313365289759732,FALSE,"17.286467","39.913473","BraA09004086","AT1G26440","UPS5","ureide permease 5","-","-"
"BraA02003877",3.12159384108486,4.7492666552028,0.00109904961317971,0.0314528016571794,FALSE,"  14.9688661"," 131.7592773","BraA02003877","AT5G48180","NSP5","nitrile specifier protein 5","-","-"
"BraA09004349",2.05976653956546,3.98047439015907,0.00116259750164461,0.0325031699394069,FALSE," 4.666713","19.647713","BraA09004349","AT1G22360","UGT85A2","UDP-glucosyl transferase 85A2","-","-"
"BraA09002485",1.48870810372721,2.15640716343706,0.00122038125725029,0.0336996508581044,FALSE," 2.268188"," 6.420243","BraA09002485","AT2G02390","GSTZ1","glutathione S-transferase zeta 1","-","-"
"BraA08003598",1.03902438342217,5.24226865875777,0.00123295964899523,0.0339320354809428,FALSE,"14.383798","29.493558","BraA08003598","AT1G11330","AT1G11330","S-locus lectin protein kinase family protein","-","-"
"BraA03004522",4.1330667156623,7.15623470964811,0.00128484516002204,0.0350493289752979,FALSE,"  4.2019197"," 74.7937562","BraA03004522","AT2G14580","PRB1","basic pathogenesis-related protein 1","-","-"
"BraA01002187",2.76653120820322,2.33086601761362,0.00129782431261542,0.0352202666906322,FALSE," 1.807575","12.321357","BraA01002187","AT4G16515","RGF6","root meristem growth factor","-","-"
"BraA02002124",1.25820096488106,4.30053993004973,0.00133530572443111,0.0359277129958045,FALSE,"10.95296112","26.56027761","BraA02002124","AT1G69870","NRT1.7","nitrate transporter 1.7","-","-"
"BraA06003456",1.10566880151465,4.47241972444911,0.00141537319043169,0.0374419731384787,FALSE," 10.82921"," 23.38039","BraA06003456","AT2G17710","AT2G17710","Big1","-","-"
"BraA03000138",1.67396311695441,3.03625248287816,0.00145159158229664,0.0379535739291515,FALSE," 5.0191421","16.0875419","BraA03000138","AT5G03760","ATCSLA09","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA08001402",2.17461255578776,0.704972908586168,0.00150941850122415,0.039076064488928,FALSE," 1.0947871"," 4.9588978","BraA08001402","AT4G18830","OFP5","ovate family protein 5","-","YES"
"BraA05000448",1.09408301711607,5.97828956092867,0.00153089869094668,0.0393088831900502,FALSE,"28.15524","59.57067","BraA05000448","AT5G19090","AT5G19090","Heavy metal transport/detoxification superfamily protein","-","-"
"BraA08000917",1.75420038347842,0.871646781626776,0.00160488452254805,0.0405471627366071,FALSE," 1.012437"," 3.433048","BraA08000917","AT5G33290","XGD1","xylogalacturonan deficient 1","-","-"
"BraA03000404",1.2124930131171,6.88921110115911,0.00161023675767315,0.0405522025052405,FALSE," 36.90325"," 86.61524","BraA03000404","AT5G09220","AAP2","amino acid permease 2","-","-"
"BraA02003708",1.00325334351982,3.84851378302062,0.00167061365133355,0.0415410092764456,FALSE," 7.176229","14.455487","BraA02003708","AT1G48320","DHNAT1","Thioesterase superfamily protein","-","-"
"BraA03001271",1.08805374951988,3.70542217389627,0.00169434398668098,0.0419787642706506,FALSE," 8.702958","18.653251","BraA03001271","AT5G57910","AT5G57910","ribosomal RNA small subunit methyltransferase G","-","-"
"BraA09006353",4.16390191729185,1.03770510074314,0.00169740895485138,0.0419787642706506,FALSE," 0.4155252"," 7.6839484","BraA09006353","AT1G13520","AT1G13520","hypothetical protein (DUF1262)","-","-"
"BraA03002322",1.42248996099333,1.0583980924477,0.00170448709406143,0.0420323073869577,FALSE," 1.2504052"," 3.4367021","BraA03002322","AT2G41710","AT2G41710","Integrase-type DNA-binding superfamily protein","YES","-"
"BraA03000310",1.41284275619292,2.06295835022033,0.00172501781870411,0.0424246569787542,FALSE," 3.380543"," 9.071771","BraA03000310","AT5G07440","GDH2","glutamate dehydrogenase 2","-","YES"
"BraA02002362",1.0384331289454,3.45261132512332,0.00175156543093394,0.0427436277254267,FALSE," 3.841084"," 7.876387","BraA02002362","AT1G73200","AT1G73200","testis-expressed sequence 2-like protein (DUF2404)","-","-"
"BraA05000892",1.54740993781408,2.86408450588823,0.00180658606285585,0.0435212309546865,FALSE," 2.433415"," 7.302639","BraA05000892","AT2G38290","AMT2","ammonium transporter 2","-","-"
"BraSca001052",1.56453449971214,3.24505568798355,0.00182392941880865,0.0437368630499195,FALSE," 4.109449","12.367045","BraSca001052","AT3G27270","AT3G27270","TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein","-","-"
"BraA05002923",1.13798208943122,1.94657401967751,0.00192146997366821,0.0453234185064242,FALSE," 1.802313"," 4.044358","BraA05002923","AT3G53610","RAB8","RAB GTPase homolog 8","-","-"
"BraA04000208",6.86751427629848,2.09347972061552,0.00192638926180418,0.0453234185064242,FALSE,"  0.17024416"," 21.31468910","BraA04000208","AT3G60140","DIN2","Glycosyl hydrolase superfamily protein","-","-"
"BraA09003029",2.2345825621909,2.3808343629185,0.00202523227383752,0.0469472105894,FALSE," 3.993496","19.014535","BraA09003029","AT4G12580","AT4G12580","hypothetical protein","-","-"
"BraA03006300",2.08858235518871,2.70974623179371,0.0020739436334818,0.0477948357115719,FALSE," 2.993246","12.755825","BraA03006300","AT4G34560","AT4G34560","transmembrane protein","-","-"
"BraA03000096",1.19977504439928,4.47781558246413,0.00210544623901533,0.0483086352800311,FALSE,"14.192423","32.457538","BraA03000096","AT5G03170","FLA11","FASCICLIN-like arabinogalactan-protein 11","-","YES"
"BraA09000588",1.34105601262294,7.23401323462585,0.00211298312663399,0.0483406314145626,FALSE," 40.97719","103.79207","BraA09000588","AT5G26570","PWD","chloroplastidic  phosphoglucan, water dikinase (ATGWD3)","-","YES"
"BraA09004615",1.22639863466902,5.8950445226289,0.00214720869069572,0.0487692132634209,FALSE," 19.42056"," 45.11024","BraA09004615","AT3G52070","AT3G52070","RNA/RNP complex-1-interacting phosphatase","-","-"
"BraA02000210",2.82836797316279,-0.213836180919419,0.0021796335838572,0.0491995159559122,FALSE," 0.2366937"," 1.7370810","BraA02000210","AT5G06230","TBL9","TRICHOME BIREFRINGENCE-LIKE 9","-","-"
