"","logFC","logCPM","PValue","FDR","woundCtrl","phyB.24_Avg_CPM","WT.24_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA03001099",-1.5300044438081,5.65964556253364,0.000192752175195396,0.0104258393043833,FALSE,"113.747473"," 38.839083","BraA03001099","AT5G22650","HD2B","histone deacetylase 2B","-","-"
"BraA07002065",-1.10450387964289,6.64325653978521,0.000198116353454228,0.0105092168574475,FALSE,"164.67891"," 75.29769","BraA07002065","AT3G57140","SDP1-LIKE","sugar-dependent 1-like protein","-","-"
"BraA05003912",-1.00601235345722,4.44851834091425,0.000208828861115728,0.0109201537340915,FALSE,"36.06167","17.70678","BraA05003912","AT3G11964","AT3G11964","RIBOSOMAL RNA PROCESSING 5","-","-"
"BraA10000150",-1.27088735532175,3.3545073657249,0.000214382804052063,0.0111734613767532,FALSE,"21.283198"," 8.701265","BraA10000150","AT1G02870","AT1G02870","nucleolar-like protein","-","-"
"BraA07002023",-1.20894156200969,7.3240601258939,0.000216242766982949,0.0112332051231407,FALSE,"177.412168"," 75.393827","BraA07002023","AT3G56290","AT3G56290","potassium transporter","-","-"
"BraA01001344",-1.89592271946104,2.02013807804033,0.000235891676435298,0.0118246337168522,FALSE," 5.1938237"," 1.3446060","BraA01001344","AT4G21895","AT4G21895","DNA binding protein","-","-"
"BraA07002896",-1.59014166309548,2.24160771572232,0.000267198728271739,0.0129805801944357,FALSE,"7.701479","2.480846","BraA07002896","AT1G68990","MGP3","male gametophyte defective 3","-","YES"
"BraA02000414",-1.11154520919173,2.67467303478591,0.000275470006828136,0.013288452578697,FALSE,"10.538623"," 4.834754","BraA02000414","AT5G11240","AT5G11240","transducin family protein / WD-40 repeat family protein","-","-"
"BraA09005060",-1.16205515319444,4.26409413460961,0.000276068868693388,0.013288452578697,FALSE,"20.606767"," 8.987163","BraA09005060","AT3G57020","AT3G57020","Calcium-dependent phosphotriesterase superfamily protein","-","-"
"BraA03003490",-1.27501818012915,3.55622646665975,0.000280310225620486,0.0134514724123977,FALSE,"20.468374"," 8.331003","BraA03003490","AT3G06530","AT3G06530","ARM repeat superfamily protein","-","-"
"BraA04000504",-3.46930165998462,-0.445207681490929,0.000284678883697615,0.0135353742645889,FALSE," 1.38882060"," 0.10605318","BraA04000504","AT3G55240","AT3G55240","Plant protein 1589 of unknown function","-","-"
"BraA10002454",-1.50211607150243,2.8974078607448,0.000293331499816062,0.0137411839497167,FALSE,"10.482233"," 3.606675","BraA10002454","AT5G11260","HY5","Basic-leucine zipper (bZIP) transcription factor family protein","YES","YES"
"BraA04003192",-1.64944269695672,2.5522765090725,0.000313881497833243,0.0144037748568374,FALSE,"14.050726"," 4.381843","BraA04003192","AT2G44510","AT2G44510","CDK inhibitor P21 binding protein","-","-"
"BraA05000899",-1.19223908088263,7.62933877412004,0.000322218407726984,0.0147433655163451,FALSE," 476.0006"," 205.1638","BraA05000899","AT2G38170","CAX1","cation exchanger 1","-","-"
"BraA08002999",-1.18303369472396,2.93024098980805,0.000337623030623296,0.0151733010554837,FALSE,"13.367693"," 5.867409","BraA08002999","AT1G26880","AT1G26880","Ribosomal protein L34e superfamily protein","-","-"
"BraA07003439",-2.19302501053758,2.71097060316082,0.000357759522659859,0.0158623517934258,FALSE," 8.848245"," 1.910158","BraA07003439","AT1G71050","HIPP20","Heavy metal transport/detoxification superfamily protein","-","-"
"BraA05000633",-1.14589212790328,5.02227533405719,0.000358775502884056,0.0158627146499861,FALSE,"55.22098","24.49144","BraA05000633","AT2G45030","AT2G45030","Translation elongation factor EFG/EF2 protein","-","-"
"BraA10000357",-1.4832032471006,5.77422333110554,0.000392050529519134,0.0170938374920531,FALSE,"103.43386"," 36.36141","BraA10000357","AT1G04980","PDIL2-2","PDI-like 2-2","-","YES"
"BraA09001538",-1.98373265573938,3.66929678892218,0.000407159765127101,0.0176076398841267,FALSE,"32.946030"," 8.159847","BraA09001538","AT5G42170","AT5G42170","SGNH hydrolase-type esterase superfamily protein","-","-"
"BraA02001685",-2.09404028851724,7.61612694995538,0.000447184572630353,0.0188704696332487,FALSE,"359.45501"," 82.32200","BraA02001685","AT5G52300","LTI65","CAP160 protein","-","YES"
"BraA01000778",-1.33147172953321,5.0737506410061,0.000457331728607087,0.0191446845964775,FALSE,"67.02024","26.02009","BraA01000778","AT4G30650","AT4G30650","Low temperature and salt responsive protein family","-","-"
"BraA07001513",-4.0436824817214,-0.811362405658218,0.000505712702193722,0.0207289529492947,FALSE," 0.59572278"," 0.02121064","BraA07001513","AT3G43660","AT3G43660","Vacuolar iron transporter (VIT) family protein","-","-"
"BraA06002057",-1.03265167235553,3.1889988930182,0.000510157789062327,0.0208028072534742,FALSE,"15.368710"," 7.386506","BraA06002057","AT1G18850","AT1G18850","hypothetical protein","-","-"
"BraA01004651",-1.07722857587816,2.72483773599916,0.000516245163604026,0.0209966379202257,FALSE,"9.963308","4.719010","BraA01004651","AT3G03920","AT3G03920","H/ACA ribonucleoprotein complex, subunit Gar1/Naf1 protein","-","YES"
"BraA10000314",-2.22208708650942,2.86954869604971,0.00052062581137474,0.0210659390000987,FALSE," 8.90197644"," 1.82886302","BraA10000314","AT1G04570","AT1G04570","Major facilitator superfamily protein","-","-"
"BraA07002429",-1.01596524305843,4.22151649549879,0.000529799070119549,0.0213821470863634,FALSE,"30.92506","15.09182","BraA07002429","AT1G80750","AT1G80750","Ribosomal protein L30/L7 family protein","-","-"
"BraA10002784",-2.3464219662471,3.62703374361362,0.00053188025546546,0.0214112409744919,FALSE,"28.262211"," 5.472430","BraA10002784","AT5G07200","GA20OX3","gibberellin 20-oxidase 3","-","-"
"BraA09001300",-1.85656959022539,1.57958688817337,0.000552324052665529,0.0221210702009044,FALSE," 2.5405616"," 0.6663056","BraA09001300","AT1G20750","AT1G20750","RAD3-like DNA-binding helicase protein","-","-"
"BraA02000863",-1.02706003173455,3.52308652212521,0.000580783174845343,0.0230465695821804,FALSE,"15.856249"," 7.666713","BraA02000863","AT5G18820","Cpn60alpha2","TCP-1/cpn60 chaperonin family protein","-","-"
"BraA01000945",-6.8854569262352,0.0346148169866146,0.000588318955927133,0.0231940697864387,FALSE,"1.3374396","0.0000000","BraA01000945","AT4G28720","YUC8","Flavin-binding monooxygenase family protein","-","YES"
"BraA05001011",-1.41350407020965,5.51556035989351,0.000589429981866295,0.0231940697864387,FALSE," 38.07488"," 13.95152","BraA05001011","AT2G36800","DOGT1","don-glucosyltransferase 1","-","YES"
"BraA08000133",-3.8805182057272,1.35786482231399,0.000600543452112224,0.0233396393487566,FALSE,"11.0981398"," 0.7232302","BraA08000133","AT1G53990","GLIP3","GDSL-motif lipase 3","-","-"
"BraA03002460",-1.14450589476941,4.23850874876511,0.000602138654397441,0.0233439961089057,FALSE,"29.044769","12.999747","BraA03002460","AT2G44640","AT2G44640","TRIGALACTOSYLDIACYLGLYCEROL-like protein","-","-"
"BraA06003878",-1.09169544378455,4.08597098478934,0.000650350010833567,0.0247258675616433,FALSE,"26.96381","12.50407","BraA06003878","AT5G28300","AT5G28300","Duplicated homeodomain-like superfamily protein","YES","-"
"BraA08000396",-1.26660738076642,1.9723139321897,0.000682481159915649,0.0255767939454103,FALSE," 6.238414"," 2.553754","BraA08000396","AT1G48920","NUC-L1","nucleolin like 1","-","YES"
"BraA02002177",-1.19851625948053,1.63994151786266,0.000708064816950651,0.0263473764037902,FALSE," 3.657348"," 1.550790","BraA02002177","AT1G70660","MMZ2","MMS ZWEI homologue 2","-","-"
"BraA06002102",-2.68514961076073,3.56785364964724,0.000763499262023847,0.0276900423600354,FALSE,"41.404196"," 6.297485","BraA06002102","AT1G19320","AT1G19320","Pathogenesis-related thaumatin superfamily protein","-","-"
"BraA01001689",-1.3159766582848,2.66630230945541,0.000810431944763147,0.0289256208856506,FALSE," 7.205993"," 2.875695","BraA01001689","AT4G25260","AT4G25260","Plant invertase/pectin methylesterase inhibitor superfamily protein","-","-"
"BraA03002404",-2.27266893498111,4.24673749472551,0.000821828491894878,0.0291999558971228,FALSE,"53.474259","10.795862","BraA03002404","AT2G43570","CHI","chitinase","-","YES"
"BraA01000918",-2.45303783706671,3.01508988003261,0.000847537270042936,0.0295979678460592,FALSE," 7.092525"," 1.298055","BraA01000918","AT4G29020","AT4G29020","glycine-rich protein","-","-"
"BraA05002546",-1.40401707004761,3.99638502716488,0.000848073919858494,0.0295979678460592,FALSE,"33.79473","12.57876","BraA05002546","AT3G22310","PMH1","putative mitochondrial RNA helicase 1","-","-"
"BraA03004054",-1.20931407355269,6.08298044632711,0.000886271569190069,0.0305602180992621,FALSE,"113.07961"," 48.17464","BraA03004054","AT3G17510","CIPK1","CBL-interacting protein kinase 1","-","-"
"BraA07002780",-1.1506775938161,2.13240352894138,0.000907730508491788,0.0307336913381018,FALSE,"7.309558","3.245408","BraA07002780","AT1G71840","AT1G71840","transducin family protein / WD-40 repeat family protein","-","-"
"BraA10002619",-1.01249751238149,3.75343568433133,0.000926657250897444,0.0312325163364578,FALSE,"16.85519"," 8.25649","BraA10002619","AT5G05730","ASA1","anthranilate synthase alpha subunit 1","-","-"
"BraA02002963",-2.21917935934692,5.13509856209682,0.000933722277798753,0.0314033945567358,FALSE,"122.84336"," 25.85627","BraA02002963","AT4G02550","AT4G02550","Myb/SANT-like DNA-binding domain protein","-","-"
"BraA05001194",-1.09056452767814,2.87671323147145,0.000958922186438803,0.0319100110244118,FALSE,"11.890532"," 5.461178","BraA05001194","AT2G34260","WDR55","transducin family protein / WD-40 repeat family protein","-","-"
"BraA07003990",-1.2158174076489,3.19320848714106,0.000982882899650902,0.0325696354536952,FALSE," 6.809997"," 2.815192","BraA07003990","AT1G78070","AT1G78070","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA03005267",-1.43652122813556,4.43525878883087,0.000990717059798219,0.0327602658008907,FALSE,"65.319686","23.775626","BraA03005267","AT4G20830","AT4G20830","FAD-binding Berberine family protein","-","-"
"BraA09001289",-2.67173904817877,3.37775639560206,0.00100364632647932,0.0330924417387622,TRUE," 12.144179","  1.908358","BraA09001289","AT2G19800","MIOX2","myo-inositol oxygenase 2","-","-"
"BraA01001874",-1.01353498841253,4.42623152694505,0.00100536557406786,0.0330924417387622,FALSE,"24.469592","11.988049","BraA01001874","AT4G27030","FADA","fatty acid desaturase A","-","-"
"BraA03003074",-2.36496402806888,2.97848215165635,0.00101307648171792,0.0331211185270102,FALSE,"28.582304"," 5.437764","BraA03003074","AT4G02520","GSTF2","glutathione S-transferase PHI 2","-","-"
"BraA05002063",-1.72043790396286,2.72293877914286,0.00101817732551862,0.0331648375114174,FALSE,"15.67620583"," 4.64142179","BraA05002063","AT1G48330","AT1G48330","SsrA-binding protein","-","-"
"BraA02000212",-1.03224929758466,2.89223165171648,0.00104690252397394,0.0338362335263855,FALSE," 13.865019","  6.622992","BraA02000212","AT5G06300","LOG7","Putative lysine decarboxylase family protein","-","-"
"BraA03003001",-1.10702140218909,3.57362256661815,0.00119227470778636,0.0375328078011146,FALSE,"19.260797"," 8.810616","BraA03003001","AT4G05410","YAO","Transducin/WD40 repeat-like superfamily protein","-","-"
"BraA01002168",-1.12897769061271,3.28582886962174,0.00120397543562529,0.0376750961366642,FALSE," 7.061483"," 3.085011","BraA01002168","AT4G16690","MES16","methyl esterase 16","-","-"
"BraA05002634",-4.30658014515976,-0.00380920503029203,0.00127955043195474,0.039568023180683,FALSE," 1.22020987"," 0.05707493","BraA05002634","AT3G21330","AT3G21330","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA01001514",-1.23315189744187,4.36787140886062,0.00128869751359384,0.0397727428705236,FALSE,"37.47892","15.64316","BraA01001514","AT4G23540","AT4G23540","ARM repeat superfamily protein","-","-"
"BraA07003776",-2.45376984080164,2.44949883888318,0.00135177575111377,0.0414755366910931,FALSE," 7.066315"," 1.250722","BraA07003776","AT1G75450","CKX5","cytokinin oxidase 5","-","YES"
"BraA06003015",-2.77070719118828,0.280894963259512,0.00144149694142749,0.0438861931490692,FALSE," 0.70445945"," 0.09179815","BraA06003015","AT5G62480","GSTU9","glutathione S-transferase tau 9","-","-"
"BraA06003425",-2.63046732111428,2.98569114199937,0.00163984323835567,0.0481550980815638,FALSE," 10.0816996","  1.5782674","BraA06003425","AT2G18193","AT2G18193","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA04002151",-1.15253907574611,2.19226191458759,0.00170209811559991,0.0495213019215203,FALSE,"8.873172","3.857414","BraA04002151","AT2G29460","GSTU4","glutathione S-transferase tau 4","-","-"
"BraA09000445",-1.06399492238736,4.55119034633582,0.00171082791847313,0.0495708501622977,FALSE,"30.627468","14.371539","BraA09000445","AT5G48470","AT5G48470","hypothetical protein","-","-"
"BraA07002315",-3.82606406299038,-1.69158606086026,0.00172667292189933,0.0497762487009075,FALSE," 0.47479611"," 0.02121064","BraA07002315","AT3G62090","PIL2","phytochrome interacting factor 3-like 2","YES","YES"
