"","logFC","logCPM","F","PValue","FDR","woundCtrl","phyB.D_Avg_CPM","phyB.R_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA10001750",-1.36970940456635,3.85277424359343,60.6618348620299,6.32543196958535e-08,7.18342707079895e-07,FALSE,"26.31467","10.18995","BraA10001750","AT5G20570","RBX1","RING-box 1","-","YES"
"BraA07001656",-1.47220173626361,7.36966536502062,60.6496709027178,6.33625197838915e-08,7.19052675846036e-07,FALSE,"345.48012","124.50275","BraA07001656","AT5G67250","SKIP2","SKP1/ASK1-interacting protein 2","-","YES"
"BraA08000700",-1.24705046985244,5.04733187723494,60.58062253295,6.39805376457994e-08,7.24499037802074e-07,FALSE,"58.12108","24.48244","BraA08000700","AT1G43710","EMB1075","Pyridoxal phosphate (PLP)-dependent transferases superfamily protein","-","-"
"BraA09002467",-1.73630162674223,5.6471752121175,60.5310212812697,6.44285353203495e-08,7.27478583889742e-07,FALSE,"97.89717","29.38996","BraA09002467","AT2G01980","SOS1","sodium proton exchanger, putative (NHX7) (SOS1)","-","YES"
"BraA02001244",-1.85954786984343,5.92936323400158,60.5169831742135,6.45559452423724e-08,7.28394679652288e-07,FALSE,"147.67675"," 40.65980","BraA02001244","AT5G58720","AT5G58720","smr (Small MutS Related) domain-containing protein","-","-"
"BraA01002436",-2.4244076488434,4.04159699428067,60.5107224567747,6.46128557887469e-08,7.28514577446186e-07,FALSE,"37.575169"," 7.012276","BraA01002436","AT3G51000","AT3G51000","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA07004121",-1.94159006701709,3.53569210567517,60.4097698324347,6.55380913578359e-08,7.37362085755781e-07,FALSE,"23.366164"," 6.101977","BraA07004121","AT1G79630","AT1G79630","Protein phosphatase 2C family protein","-","-"
"BraA10003004",-1.75000606738462,4.16860638430703,60.3927781113796,6.56952318503372e-08,7.38602106660219e-07,FALSE,"32.020915"," 9.493744","BraA10003004","AT5G04170","AT5G04170","Calcium-binding EF-hand family protein","-","-"
"BraA06004574",-1.65192133655187,5.66784955345364,60.3867639962531,6.57509488116611e-08,7.38700881010382e-07,FALSE," 99.00002"," 31.50478","BraA06004574","AT2G01100","AT2G01100","FAM133-like protein","-","-"
"BraA05000496",-3.63187034857408,5.74491060402231,60.3641477657459,6.59609338636568e-08,7.40531454360883e-07,FALSE,"151.52363"," 12.21044","BraA05000496","AT2G43400","ETFQO","electron-transfer flavoprotein:ubiquinone oxidoreductase","-","-"
"BraA03006432",-2.70745929722288,3.43125122407834,60.3452774358574,6.61366969749522e-08,7.41447015944265e-07,FALSE,"30.605044"," 4.657104","BraA03006432","AT3G51840","ACX4","acyl-CoA oxidase 4","-","-"
"BraA01002792",-2.08754930592822,6.13346751960964,60.2996894777884,6.65634181819662e-08,7.45169418338654e-07,FALSE,"163.62710"," 38.48653","BraA01002792","AT3G44880","ACD1","Pheophorbide a oxygenase family protein with Rieske 2Fe-2S domain-containing protein","-","YES"
"BraA08001818",-1.6345751926055,5.10438776899845,60.1393827083408,6.80878720718843e-08,7.58756629572388e-07,FALSE,"64.76254","20.87220","BraA08001818","AT4G32440","AT4G32440","Plant Tudor-like RNA-binding protein","-","-"
"BraA08001939",-1.74414413842839,3.27278448065787,60.1366115078414,6.81145563904564e-08,7.58756629572388e-07,FALSE,"16.846758"," 5.027202","BraA08001939","AT4G16250","PHYD","phytochrome D","-","-"
"BraA01002315",-1.08136809406722,6.20820524166491,60.1177577722422,6.82964038322457e-08,7.60244268967148e-07,FALSE,"125.77717"," 59.42759","BraA01002315","AT4G15180","SDG2","SET domain protein 2","-","-"
"BraA03001585",-6.90255210052241,3.62113326015072,60.0110078665726,6.93360239713666e-08,7.69639645493166e-07,FALSE,"44.8837541"," 0.3816163","BraA03001585","AT5G52120","PP2-A14","phloem protein 2-A14","-","-"
"BraA05000251",-1.45500703455258,6.59233347945463,59.9955637114053,6.9487850541874e-08,7.70781372465889e-07,FALSE,"174.21063"," 63.53571","BraA05000251","AT2G40430","AT2G40430","Nop53 protein","-","-"
"BraA03000163",-1.5458720803112,4.54789897463437,59.9904688415032,6.95380157920941e-08,7.70794625751803e-07,FALSE,"31.326429","10.720108","BraA03000163","AT5G04320","AT5G04320","Shugoshin C terminus","-","-"
"BraA08001599",-1.15997733189274,5.63536027019859,59.9595360689435,6.98434328680389e-08,7.73635209952803e-07,FALSE,"86.39380","38.68330","BraA08001599","AT1G20960","emb1507","U5 small nuclear ribonucleoprotein helicase","-","-"
"BraA05004097",-1.35624656566883,7.45139051118321,59.8669877491969,7.0765952593715e-08,7.82751998471592e-07,FALSE,"320.4995","125.1976","BraA05004097","AT3G09850","AT3G09850","D111/G-patch domain-containing protein","-","-"
"BraA07003559",-1.75914883338934,3.94974853664811,59.8333587839428,7.1104437808242e-08,7.8486811909734e-07,FALSE,"27.282899"," 8.054851","BraA07003559","AT1G72630","ELF4-L2","ELF4-like 2","-","-"
"BraA09004164",-1.82073394454228,5.00219474123259,59.8331190059481,7.11068575497336e-08,7.8486811909734e-07,FALSE,"59.19635","16.73987","BraA09004164","AT1G27190","AT1G27190","Leucine-rich repeat protein kinase family protein","-","-"
"BraA06004678",-4.17380144479384,5.31671570278984,59.6821214051639,7.26485822692627e-08,7.97411914168895e-07,FALSE," 99.621883","  5.462638","BraA06004678","AT4G17900","AT4G17900","PLATZ transcription factor family protein","-","-"
"BraA04000936",-1.8650930881495,3.98238566905605,59.6431973085362,7.30518696003667e-08,8.01279740424928e-07,FALSE,"33.548896"," 9.201356","BraA04000936","AT4G13160","AT4G13160","zein-binding protein (Protein of unknown function, DUF593)","-","-"
"BraA06000197",-2.59944403229243,5.07654958782037,59.6136094857712,7.3360052239948e-08,8.04099736947619e-07,FALSE,"87.11750","14.35526","BraA06000197","AT5G45900","APG7","ThiF family protein","-","YES"
"BraA03000652",-1.59574540673567,3.98586522806228,59.588004039916,7.36278953785217e-08,8.05667652341183e-07,FALSE,"34.158120","11.281043","BraA03000652","AT5G14170","CHC1","SWIB/MDM2 domain superfamily protein","-","YES"
"BraA06004920",-1.73863772012571,5.42399920176509,59.5852606650149,7.36566551282695e-08,8.05667652341183e-07,FALSE,"102.68937"," 30.75124","BraA06004920","AT5G42940","AT5G42940","RING/U-box superfamily protein","-","-"
"BraA01000922",-1.73750314143133,4.21980482287184,59.5356929327446,7.4178399029513e-08,8.09135000188467e-07,FALSE,"33.69532","10.09882","BraA01000922","AT4G28980","CAK1AT","CDK-activating kinase 1AT","-","-"
"BraA06004157",-1.27146218167681,5.98264550010896,59.5306528291162,7.42316750356209e-08,8.09145820679136e-07,FALSE,"109.08409"," 45.18205","BraA06004157","AT3G28720","AT3G28720","transmembrane protein","-","-"
"BraA04002841",-1.4104536876847,7.03030080412323,59.2546906910729,7.72131407811824e-08,8.34372224492905e-07,FALSE,"239.89293"," 90.23167","BraA04002841","AT2G39580","AT2G39580","zinc finger C3H1 domain protein","-","-"
"BraA03005107",-3.56700119897661,6.62818419185107,59.2152740166827,7.76495094625999e-08,8.3827385386922e-07,FALSE,"300.15120"," 25.29902","BraA03005107","AT4G17900","AT4G17900","PLATZ transcription factor family protein","-","-"
"BraA05004651",-1.38351868046759,7.65723794042343,59.1712202359533,7.81403872737994e-08,8.41840996365231e-07,FALSE,"397.9024","152.5018","BraA05004651","AT3G02260","BIG","auxin transport protein (BIG)","-","-"
"BraA04002963",-1.30035786479014,4.90491573696812,59.1646183504635,7.82142401184569e-08,8.4206028691143e-07,FALSE,"59.14890","24.00538","BraA04002963","AT2G40930","UBP5","ubiquitin-specific protease 5","-","-"
"BraA03000548",-1.34506334941346,4.15036504613807,59.085725943858,7.91026727683545e-08,8.50461796020424e-07,FALSE,"33.81111","13.30937","BraA03000548","AT5G12230","MED19A","mediator of RNA polymerase II transcription subunit 19a-like protein","-","-"
"BraA02002625",-2.30364930016653,2.88457524937274,58.9916829911377,8.01760725968254e-08,8.59653530431902e-07,FALSE,"13.574629"," 2.736183","BraA02002625","AT1G77600","AT1G77600","ARM repeat superfamily protein","-","-"
"BraA03006419",-1.60699236286322,4.97747189734372,58.8663430320739,8.16313695685752e-08,8.71310123913406e-07,FALSE,"60.39340","19.83055","BraA03006419","AT4G36195","AT4G36195","Serine carboxypeptidase S28 family protein","-","-"
"BraA03004213",-3.08209871688221,6.91668003577569,58.8303145589023,8.20549813038117e-08,8.73846688580511e-07,FALSE,"422.22788"," 49.89544","BraA03004213","AT3G20770","EIN3","Ethylene insensitive 3 family protein","YES","YES"
"BraA03005197",-1.82705128146813,3.99951400232925,58.8145841167504,8.22406835785253e-08,8.7523215654225e-07,FALSE,"33.504068"," 9.415963","BraA03005197","AT4G19130","AT4G19130","Replication factor-A protein 1-like protein","-","-"
"BraA04002024",-2.25300555599506,3.2697658817537,58.783677812548,8.26068725101571e-08,8.77555891933487e-07,FALSE,"21.333247"," 4.471071","BraA04002024","AT2G28070","ABCG3","ABC-2 type transporter family protein","-","-"
"BraA06003482",-1.83461123319144,3.91486035847715,58.7749610740198,8.27104715578583e-08,8.77857601025414e-07,FALSE,"23.205023"," 6.495704","BraA06003482","AT2G17440","PIRL5","plant intracellular ras group-related LRR 5","-","-"
"BraA01000067",-1.73739603063844,6.8316349914812,58.5863238639747,8.49873787632647e-08,8.99597405335431e-07,FALSE,"228.34874"," 68.47756","BraA01000067","AT4G39660","AGT2","alanine:glyoxylate aminotransferase 2","-","-"
"BraA10002698",-2.03995748754852,5.9735721722373,58.4088783384655,8.71914711496709e-08,9.18603584936961e-07,FALSE,"130.18867"," 31.63042","BraA10002698","AT5G06560","AT5G06560","myosin-binding protein (Protein of unknown function, DUF593)","-","-"
"BraA06004675",-1.16349759833251,4.56406654531987,58.3733423130019,8.76402936740399e-08,9.22097742265634e-07,FALSE,"43.71291","19.50934","BraA06004675","AT5G46750","AGD9","ARF-GAP domain 9","-","-"
"BraA01004294",-1.35051106120052,6.35167178070923,58.3538555306124,8.78874783341101e-08,9.22847837877847e-07,FALSE,"165.43755"," 64.86357","BraA01004294","AT3G55220","SAP130b","Cleavage and polyadenylation specificity factor (CPSF) A subunit protein","-","-"
"BraA09004313",-2.42248369855041,3.23975589655409,58.3225703970638,8.82859076945959e-08,9.24785256519566e-07,FALSE,"23.481980"," 4.408170","BraA09004313","AT1G22790","AT1G22790","Low affinity potassium transport system protein","-","-"
"BraA01003480",-1.27471838727135,4.6142773876485,58.3209181814272,8.83070038468175e-08,9.24785256519566e-07,FALSE,"42.92392","17.74276","BraA01003480","AT3G21175","ZML1","ZIM-like 1","YES","-"
"BraA02000481",-1.41627934244379,3.98934958853442,58.2649743313388,8.90245599381527e-08,9.31679902544231e-07,FALSE,"31.130374","11.646019","BraA02000481","AT5G12350","AT5G12350","Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein","-","-"
"BraA01000415",-1.40844468284257,5.00502686549856,58.1958039684093,8.99205358681175e-08,9.40431385092471e-07,FALSE,"66.29145","24.98569","BraA01000415","AT4G34370","ARI1","RING/U-box superfamily protein","-","-"
"BraA09004943",-1.62330595112343,5.11818188193901,58.1444210831191,9.05924490516539e-08,9.45573705618722e-07,FALSE,"70.84351","22.98081","BraA09004943","AT3G55830","EPC1","Nucleotide-diphospho-sugar transferases superfamily protein","-","-"
"BraA05004078",-1.66629187505105,5.14023517454168,58.0641333018694,9.16532865353553e-08,9.55379291434763e-07,FALSE,"83.31126","26.23931","BraA05004078","AT3G10030","AT3G10030","aspartate/glutamate/uridylate kinase family protein","YES","-"
"BraA05003057",-2.92082174924658,3.77141579096273,58.0560129918585,9.17613289765972e-08,9.55872480537154e-07,FALSE,"32.529299"," 4.247957","BraA05003057","AT3G19910","AT3G19910","RING/U-box superfamily protein","-","-"
"BraA03000381",-2.44237341819008,6.40337072505474,58.0228392616161,9.22041521272283e-08,9.59215700252857e-07,FALSE,"127.00048"," 23.32188","BraA03000381","AT5G08520","AT5G08520","Duplicated homeodomain-like superfamily protein","YES","-"
"BraA09000417",-3.07935381798826,4.15936270956704,57.9974973340209,9.25439959504483e-08,9.62115255125533e-07,FALSE,"41.556770"," 4.909463","BraA09000417","AT3G30390","AT3G30390","Transmembrane amino acid transporter family protein","-","-"
"BraA03002321",-2.3691268440752,6.69552423130996,57.8905665502584,9.39930357702806e-08,9.75247450905878e-07,FALSE,"246.35263"," 47.66554","BraA03002321","AT2G41700","ABCA1","ATP-binding cassette A1","-","-"
"BraA03001517",-1.23446496551646,6.90234731742265,57.8820936829804,9.41089028476709e-08,9.75806410291397e-07,FALSE,"227.61893"," 96.74101","BraA03001517","AT5G53440","AT5G53440","LOW protein: zinc finger CCCH domain protein","-","-"
"BraA02003367",-1.9563863530933,6.88379123221967,57.8632303928955,9.43674174676162e-08,9.77842759012692e-07,FALSE,"192.42299"," 49.60747","BraA02003367","AT2G01760","RR14","response regulator 14","YES","-"
"BraA06001333",-2.66332092615306,2.10478776715571,57.8476898285411,9.45809750470032e-08,9.79259161604323e-07,FALSE,"9.903554","1.561554","BraA06001333","AT1G09815","POLD4","polymerase delta 4","-","-"
"BraA06001627",-1.52208146967984,4.16825560992248,57.8241153265251,9.49059377046446e-08,9.81484533161042e-07,FALSE,"30.03229","10.44981","BraA06001627","AT1G14380","IQD28","IQ-domain 28","-","-"
"BraA06004787",-2.08469534284377,7.06386017147937,57.7996675282214,9.52442201490584e-08,9.8433619510583e-07,FALSE,"306.18176"," 72.17726","BraA06004787","AT5G44790","RAN1","copper-exporting ATPase / responsive-to-antagonist 1 / copper-transporting ATPase (RAN1)","-","-"
"BraA06000962",-1.64078521977603,7.11595470870006,57.7885231324761,9.53988588930927e-08,9.85287427150446e-07,FALSE,"310.83599"," 99.67227","BraA06000962","AT1G50600","SCL5","scarecrow-like 5","YES","-"
"BraA06000377",-1.63219300246606,4.74469606101781,57.7467003731621,9.59816256637699e-08,9.89358734739842e-07,FALSE,"45.29053","14.62584","BraA06000377","AT1G05440","AT1G05440","C-8 sterol isomerase","-","-"
"BraA09004066",-3.66029194946666,5.2500457462965,57.5550916976651,9.87014474843387e-08,1.01372942642401e-06,FALSE," 74.042529","  5.831556","BraA09004066","AT1G25560","TEM1","AP2/B3 transcription factor family protein","YES","YES"
"BraA06004710",-3.11612273550302,6.66679164524924,57.5147729324337,9.92843572740066e-08,1.0180689143276e-06,FALSE,"291.52266"," 33.58024","BraA06004710","AT5G46180","DELTA-OAT","ornithine-delta-aminotransferase","-","-"
"BraA08002249",-3.80589920296426,3.19365937476598,57.4995006016776,9.95061333495338e-08,1.01967873627712e-06,FALSE,"21.297409"," 1.482876","BraA08002249","AT4G24690","NBR1","ubiquitin-associated (UBA)/TS-N domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein","-","-"
"BraA06003906",-2.57806239191394,7.86863948314475,57.4100817388491,1.0081547302374e-07,1.02974402686156e-06,FALSE,"426.3402"," 71.4145","BraA06003906","AT5G28910","AT5G28910","alpha-(1,6)-fucosyltransferase","-","-"
"BraA01004308",-3.95139460925446,4.15840376804767,57.3904994000582,1.01104704224485e-07,1.03135971775334e-06,FALSE,"60.496708"," 3.903252","BraA01004308","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA02003114",-1.43624331679341,4.62874189304397,57.3716806525589,1.01383506909334e-07,1.03353393701614e-06,FALSE,"50.20104","18.55644","BraA02003114","AT4G20330","AT4G20330","Transcription initiation factor TFIIE, beta subunit","-","-"
"BraA08001512",-1.77843103101649,5.25026893159451,57.3618296818244,1.01529783583002e-07,1.03435520621129e-06,FALSE,"76.65839","22.32716","BraA08001512","AT4G21450","AT4G21450","PapD-like superfamily protein","-","-"
"BraA03006470",-1.87100196339399,2.77900949115977,57.3480917625033,1.01734160427903e-07,1.03555967766437e-06,FALSE,"12.506199"," 3.412402","BraA03006470","AT4G37190","AT4G37190","plasma membrane, autoregulation-binding site, misato segment II, myosin-like, tubulin/FtsZ protein","-","-"
"BraA06001985",-1.7213283501681,4.76220677862588,57.3450418065879,1.01779594748842e-07,1.03555967766437e-06,FALSE,"55.21056","16.74661","BraA06001985","AT1G18160","AT1G18160","Protein kinase superfamily protein","-","-"
"BraA01004134",-1.70113383883944,5.24387582671737,57.3105341583079,1.02295184004876e-07,1.04013320170333e-06,FALSE,"85.39445","26.24877","BraA01004134","AT3G13570","SCL30A","SC35-like splicing factor 30A","-","-"
"BraA05000819",-1.78507326227459,5.11004025875138,57.2925301618485,1.02565313200991e-07,1.04220660412111e-06,FALSE,"73.20016","21.24591","BraA05000819","AT2G39340","SAC3A","SAC3/GANP/Nin1/mts3/eIF-3 p25 family","-","-"
"BraA05003350",-1.23191325214255,6.85356422703459,57.2800667154086,1.02752766787972e-07,1.04343777370495e-06,FALSE,"199.63076"," 84.99779","BraA05003350","AT3G23780","NRPD2A","nuclear RNA polymerase D2A","-","-"
"BraA07000884",-1.73018752421522,3.22590301080305,57.2531827010198,1.03158378339335e-07,1.04620674939506e-06,FALSE,"19.906566"," 6.018793","BraA07000884","AT3G23690","AT3G23690","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA08003703",-2.08579766878687,5.00114985914353,57.2258241367162,1.03572936367932e-07,1.04973471888683e-06,FALSE,"70.09264","16.51212","BraA08003703","AT1G09430","ACLA-3","ATP-citrate lyase A-3","-","-"
"BraA06002517",-1.75316094885811,5.46325776273607,57.1123589896669,1.05311671859071e-07,1.06324933615252e-06,FALSE,"81.18349","24.08398","BraA06002517","AT3G48120","AT3G48120","serine/arginine-rich splicing factor","-","-"
"BraA05002533",-1.87203994211465,4.01971834223938,57.0451334351264,1.06356777537838e-07,1.07311261438819e-06,FALSE,"33.718801"," 9.201519","BraA05002533","AT3G22480","PDF2","prefoldin 2","-","-"
"BraA06001320",-1.12877073942513,6.57142706226389,56.9562909094896,1.0775527027169e-07,1.08652655610275e-06,FALSE,"155.18202"," 70.95823","BraA06001320","AT1G09730","AT1G09730","Cysteine proteinases superfamily protein","-","-"
"BraA07001801",-2.90419880958784,3.48027336117821,56.875063256787,1.09051392822152e-07,1.09889175609518e-06,FALSE,"20.275860"," 2.694961","BraA07001801","AT2G27180","AT2G27180","hypothetical protein","-","-"
"BraA02000345",-1.42808099029312,5.07018956558218,56.8570060622575,1.09341820931209e-07,1.10040937433326e-06,FALSE,"63.52716","23.60100","BraA02000345","AT5G09900","EMB2107","26S proteasome regulatory subunit, putative (RPN5)","-","-"
"BraA09005763",-1.58256746657911,7.14307642886078,56.7699155999435,1.10754417071093e-07,1.11107362950861e-06,FALSE,"266.80509"," 89.08547","BraA09005763","AT2G23090","AT2G23090","Uncharacterized protein family SERF","-","-"
"BraA02000585",-1.64660034639578,3.34591365538214,56.6593352396163,1.12576660319266e-07,1.12648228444072e-06,FALSE,"18.592091"," 5.931286","BraA02000585","AT5G14420","RGLG2","RING domain ligase2","-","-"
"BraA08001602",-1.63431194006108,4.78868463652943,56.4852227203403,1.15512211014205e-07,1.1513530784822e-06,FALSE,"61.34258","19.75796","BraA08001602","AT4G22740","AT4G22740","glycine-rich protein","-","-"
"BraA02000333",-1.8041146385617,5.5453904563649,56.3944597310966,1.17075376452342e-07,1.16409755234356e-06,FALSE,"94.01611","26.95781","BraA02000333","AT5G09670","AT5G09670","loricrin-like protein","-","-"
"BraA06002665",-1.26350744084839,5.89824630233175,56.3826005596372,1.17281313039968e-07,1.1654090071017e-06,FALSE,"111.59257"," 46.47869","BraA06002665","AT3G46510","PUB13","plant U-box 13","-","-"
"BraA09002469",-1.81792621587979,4.75922959143964,56.3302654657512,1.18194834114117e-07,1.17374554508278e-06,FALSE,"55.71253","15.78327","BraA09002469","AT1G62200","PTR6","Major facilitator superfamily protein","-","-"
"BraA10001754",-2.05336242045591,4.60349258010909,56.2618462940081,1.19400786169844e-07,1.18422707896241e-06,FALSE,"52.28108","12.61113","BraA10001754","AT5G20520","WAV2","alpha/beta-Hydrolases superfamily protein","-","-"
"BraA02003628",-2.23984709774412,3.63681334936002,56.2085204624677,1.20349974972389e-07,1.19213883326961e-06,FALSE,"27.938467"," 5.922987","BraA02003628","AT1G19790","SRS7","SHI-related sequence 7","YES","-"
"BraA03005283",-1.96976232011838,3.76973953485214,56.1618136913912,1.21188083489508e-07,1.19817866465129e-06,FALSE,"29.632474"," 7.536000","BraA03005283","AT4G21160","ZAC","Calcium-dependent ARF-type GTPase activating protein family","-","-"
"BraA08000121",-5.60958657069674,7.84783734507677,56.1198803537404,1.21945941810703e-07,1.2041587980555e-06,FALSE,"865.795098"," 17.714025","BraA08000121","AT1G54100","ALDH7B4","aldehyde dehydrogenase 7B4","-","-"
"BraA05002529",-1.69322466287619,6.042531397255,55.9726700867711,1.24647508098911e-07,1.22775455411568e-06,FALSE,"130.82519"," 40.43885","BraA05002529","AT3G22530","AT3G22530","heat shock protein","-","-"
"BraA09004973",-1.52932108663198,3.97806849203664,55.96704723636,1.2475197848771e-07,1.22801509780898e-06,FALSE,"26.561046"," 9.192481","BraA09004973","AT3G56110","PRA1.B1","prenylated RAB acceptor 1.B1","-","-"
"BraA07003782",-3.17889295889099,3.26733767534992,55.9408816123896,1.2523937874394e-07,1.23050425807092e-06,FALSE,"30.503355"," 3.386106","BraA07003782","AT1G75540","BBX21","salt tolerance homolog2","YES","-"
"BraA09005204",-1.54492642036456,5.84808474024368,55.9175578442742,1.25675586858486e-07,1.23401979859799e-06,FALSE,"113.57123"," 38.93121","BraA09005204","AT3G58970","MGT6","magnesium transporter 6","-","-"
"BraA01000289",-2.41681841300478,8.16605020156704,55.8270344374783,1.27384286496186e-07,1.24458638699563e-06,FALSE,"764.4429","143.1648","BraA01000289","AT4G35830","ACO1","aconitase 1","-","-"
"BraA07000012",-2.02229553763191,5.73784109703752,55.7752978927419,1.28372177895245e-07,1.24958446510275e-06,FALSE,"118.83164"," 29.25919","BraA07000012","AT2G20740","AT2G20740","Tetraspanin family protein","-","-"
"BraA06004243",-1.1134277171796,5.27783246641175,55.6543873719933,1.30713537456617e-07,1.26782357813616e-06,FALSE,"74.79236","34.55607","BraA06004243","AT5G40650","SDH2-2","succinate dehydrogenase 2-2","-","-"
"BraA03002555",-4.06391144397162,6.88135525966823,55.6535862924087,1.30729203768424e-07,1.26782357813616e-06,FALSE,"409.46908"," 24.47032","BraA03002555","AT2G46600","AT2G46600","Calcium-binding EF-hand family protein","-","-"
"BraA07000550",-1.36808160429027,4.72239936099689,55.6234587691181,1.31319876419791e-07,1.27198452606001e-06,FALSE,"49.95645","19.37416","BraA07000550","AT5G51340","AT5G51340","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA10001389",-4.05301149494832,3.39753430032974,55.4986814399501,1.33797290245762e-07,1.29200573525662e-06,FALSE,"36.958562"," 2.242784","BraA10001389","AT5G58570","AT5G58570","transmembrane protein","-","-"
"BraA01001098",-1.39822825890417,6.03454630389403,55.4695436758763,1.34383096247748e-07,1.29527858845043e-06,FALSE,"112.13991"," 42.54461","BraA01001098","AT4G18710","BIN2","Protein kinase superfamily protein","-","YES"
"BraA07000486",-4.00973828502349,5.83084627327053,55.4471415595891,1.34835379073112e-07,1.29804823645919e-06,FALSE,"169.05573"," 10.53106","BraA07000486","AT2G15960","AT2G15960","stress-induced protein","-","-"
"BraA06004778",-1.64017804724544,3.87738064464447,55.3828041244695,1.36143527931603e-07,1.30744303211924e-06,FALSE,"29.331012"," 9.394807","BraA06004778","AT5G45130","RHA1","Ras small GTP-binding family protein","-","-"
"BraA04002260",-2.72008465857297,3.8455988084441,55.3612916119638,1.36584005045663e-07,1.31087331671874e-06,FALSE,"31.724419"," 4.820735","BraA04002260","AT2G30990","AT2G30990","arginine N-methyltransferase, putative (DUF688)","-","-"
"BraA10000153",-1.05086811921877,6.51836352102707,55.3522538300923,1.36769518893605e-07,1.31184979577693e-06,FALSE,"132.52135"," 63.96479","BraA10000153","AT1G02890","AT1G02890","AAA-type ATPase family protein","-","-"
"BraA07000983",-2.81547723102024,5.95849786334925,55.3482185493959,1.36852437399347e-07,1.31184979577693e-06,FALSE,"213.05953"," 30.22368","BraA07000983","AT1G30820","AT1G30820","CTP synthase family protein","-","-"
"BraA06001318",-1.85232176251686,2.98141120528181,55.3302419582745,1.37222491606531e-07,1.31379684786302e-06,FALSE,"17.273562"," 4.798121","BraA06001318","AT1G09710","AT1G09710","Homeodomain-like superfamily protein","YES","-"
"BraA04002127",-1.40793366009115,6.64080902141853,55.2059626528419,1.3981075897704e-07,1.33613925094026e-06,FALSE,"187.72952"," 70.72801","BraA04002127","AT2G29200","PUM1","pumilio 1","-","-"
"BraA05000304",-2.48837373780697,5.52786419343135,55.1613949462131,1.40751818334872e-07,1.34268704278235e-06,FALSE,"112.66834"," 20.09563","BraA05000304","AT2G41410","AT2G41410","Calcium-binding EF-hand family protein","-","-"
"BraA03001884",-3.95894122864349,9.49185950420306,55.1538758633974,1.40911263298831e-07,1.34339387300036e-06,FALSE,"2252.8178"," 144.8734","BraA03001884","AT2G33830","AT2G33830","Dormancy/auxin associated family protein","-","-"
"BraA02001296",-4.60370295603233,3.60132661598474,55.1126164696942,1.41789684706264e-07,1.3509501436299e-06,FALSE,"34.6990596"," 1.3914981","BraA02001296","AT5G57910","AT5G57910","ribosomal RNA small subunit methyltransferase G","-","-"
"BraA03004295",-1.355849214012,4.64860783094289,55.078960535516,1.42510633633023e-07,1.35587066255772e-06,FALSE,"41.93423","16.39087","BraA03004295","AT3G22480","PDF2","prefoldin 2","-","-"
"BraA02001975",-1.766966273573,4.01678444359541,55.0665189925369,1.42778153411126e-07,1.35668108077151e-06,FALSE,"34.819336","10.223561","BraA02001975","AT1G68070","AT1G68070","Zinc finger, C3HC4 type (RING finger) family protein","-","-"
"BraA02004401",-2.24654355546639,5.50602368258084,55.0275845893265,1.43618858150246e-07,1.36342631319956e-06,FALSE,"88.36647","18.62426","BraA02004401","AT5G63860","UVR8","Regulator of chromosome condensation (RCC1) family protein","-","YES"
"BraA06001720",-1.69465212847597,3.89257891254569,54.9701142357926,1.44869652373281e-07,1.37116556124801e-06,FALSE,"26.99050"," 8.34509","BraA06001720","AT1G15350","AT1G15350","DUF4050 family protein","-","-"
"BraA05002530",-2.28384566551017,4.13867901266766,54.9628340554088,1.45028942238319e-07,1.3718482877591e-06,FALSE,"44.285879"," 9.085250","BraA05002530","AT3G22520","AT3G22520","spindle assembly abnormal protein","-","-"
"BraA07001600",-1.90822264371433,4.46931926201153,54.9523598270846,1.45258451629661e-07,1.37319401120172e-06,FALSE,"43.44155","11.56177","BraA07001600","AT1G19910","AVA-P2","ATPase, F0/V0 complex, subunit C protein","-","-"
"BraA06002253",-2.60348953152836,3.17844555026808,54.6900807634165,1.51136087517535e-07,1.41960777394685e-06,FALSE,"25.186050"," 4.129150","BraA06002253","AT1G76460","AT1G76460","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraA08002185",-1.3776491893867,4.45016050266238,54.652708755624,1.51994415677265e-07,1.42574022810498e-06,FALSE,"42.73768","16.43988","BraA08002185","AT4G26780","AR192","Co-chaperone GrpE family protein","-","-"
"BraA02002676",-2.13991234629058,6.57146997635779,54.6354225922493,1.5239321976902e-07,1.42846016626814e-06,FALSE,"229.97184"," 52.19493","BraA02002676","AT1G78240","TSD2","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA03005014",-3.63983148791991,4.55495228855936,54.6322780764466,1.52465888140437e-07,1.42846016626814e-06,FALSE,"84.915874"," 6.795006","BraA03005014","AT4G16520","ATG8F","Ubiquitin-like superfamily protein","-","-"
