"","logFC","logCPM","F","PValue","FDR","woundCtrl","WT.P_Avg_CPM","WT.D_Avg_CPM","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA07001841",3.68643656478068,4.40819884260895,53.9597109631652,1.68909415312189e-07,1.07855342678047e-06,FALSE," 5.187997","67.900712","BraA07001841","AT2G27830","AT2G27830","hypothetical protein","-","-"
"BraA09004809",1.47405759100947,3.56081050375972,53.9010431947529,1.70432616232675e-07,1.08485966735981e-06,FALSE," 7.739219","21.750582","BraA09004809","AT3G54290","AT3G54290","hemerythrin HHE cation-binding domain protein","-","-"
"BraA08001012",1.89596122168241,3.66771109481797,53.8950972271509,1.70587823407184e-07,1.08530814083633e-06,FALSE," 7.232923","27.316082","BraA08001012","AT5G40660","AT5G40660","ATP12 protein-like protein","-","-"
"BraA02000646",1.00471524147279,4.6193424982031,53.7932697729728,1.73269794601666e-07,1.10192588566878e-06,FALSE,"17.28492","34.62362","BraA02000646","AT5G15400","AT5G15400","U-box domain-containing protein","-","-"
"BraA07002156",1.2850386495254,3.94331644615029,53.7641228376505,1.74045887050786e-07,1.10552149401912e-06,FALSE,"10.98721","26.68570","BraA07002156","AT3G58580","AT3G58580","DNAse I-like superfamily protein","-","-"
"BraA09003344",1.32231539155008,4.10322109034183,53.7515175114872,1.74382697105934e-07,1.10721405907519e-06,FALSE,"11.43054","28.42974","BraA09003344","AT1G33980","UPF3","Smg-4/UPF3 family protein","-","-"
"BraA03004883",1.41183562841442,4.16820151637077,53.7019212251171,1.7571478495677e-07,1.11477255752502e-06,FALSE,"13.37482","35.63427","BraA03004883","AT3G21640","TWD1","FKBP-type peptidyl-prolyl cis-trans isomerase family protein","-","YES"
"BraA02001544",5.12866576818017,6.69365033200502,53.6427144752475,1.77319493116111e-07,1.1233754839999e-06,FALSE," 10.126353","358.416054","BraA02001544","AT5G54080","HGO","homogentisate 1,2-dioxygenase","-","-"
"BraA09000840",1.11108276310383,5.58248908871716,53.6413634966482,1.77356294646744e-07,1.1233754839999e-06,FALSE,"36.17491","78.26021","BraA09000840","AT5G63460","AT5G63460","SAP domain-containing protein","-","-"
"BraA01000701",1.09231227324389,4.03923665868785,53.6227170504249,1.77865084604777e-07,1.1256921719659e-06,FALSE,"11.82619","25.14674","BraA01000701","AT4G31430","AT4G31430","flocculation protein","-","-"
"BraA03005823",1.59993262575698,7.36009566821392,53.5661496841615,1.79418319543908e-07,1.13369905645167e-06,FALSE,"108.68941","329.63287","BraA03005823","AT4G28570","AT4G28570","Long-chain fatty alcohol dehydrogenase family protein","-","-"
"BraA01002292",4.4024735435115,3.01398777904526,53.4713627758194,1.82054133897795e-07,1.14877164576536e-06,FALSE," 1.397286","29.972267","BraA01002292","AT4G15550","IAGLU","indole-3-acetate beta-D-glucosyltransferase","-","-"
"BraA02003875",1.30873598504554,5.12487156571738,53.4591418418174,1.82397021919214e-07,1.14975135162532e-06,FALSE,"24.79526","61.48326","BraA02003875","AT5G48150","PAT1","GRAS family transcription factor","YES","-"
"BraA06004004",1.48892853422295,4.87614177566201,53.4302921882621,1.83209256018459e-07,1.1544090030947e-06,FALSE,"19.05663","53.73355","BraA06004004","AT5G48610","AT5G48610","myb-like protein X","-","-"
"BraA05003188",1.21495904819997,4.53527827809614,53.3503957438929,1.85479248670216e-07,1.16777734962768e-06,FALSE,"17.51519","40.77922","BraA05003188","AT2G36300","AT2G36300","Integral membrane Yip1 family protein","-","-"
"BraA06000223",1.66445702034501,7.46475378135461,53.3455159018762,1.85618880109446e-07,1.16818919349168e-06,FALSE,"102.66491","325.75879","BraA06000223","AT5G45510","AT5G45510","Leucine-rich repeat (LRR) family protein","-","-"
"BraA09004582",1.77840660870311,4.6386523035051,53.2782223377357,1.87556106224001e-07,1.17896689774991e-06,FALSE,"14.90119","51.51057","BraA09004582","AT3G51630","WNK5","with no lysine (K) kinase 5","-","-"
"BraA06004057",2.69609459758835,4.62913424315015,53.2249886965473,1.89104144247401e-07,1.18774909435519e-06,FALSE," 9.160245","59.197967","BraA06004057","AT5G47860","AT5G47860","Gut esterase (DUF1350)","-","-"
"BraA10000097",3.62523352870026,2.57897205140099,53.1416678282072,1.9155506403039e-07,1.20170454676697e-06,FALSE," 1.268284","15.842231","BraA10000097","AT1G02250","NAC005","NAC domain containing protein 5","YES","-"
"BraA09004973",1.28634706165716,3.97806849203664,53.1257277185513,1.92027871123238e-07,1.20419071373696e-06,FALSE,"12.153096","29.662014","BraA09004973","AT3G56110","PRA1.B1","prenylated RAB acceptor 1.B1","-","-"
"BraA07004128",1.10661700569911,3.81765418318536,53.015478838311,1.95332938509446e-07,1.22248129309689e-06,FALSE,"10.26558","22.18406","BraA07004128","AT1G80950","AT1G80950","Phospholipid/glycerol acyltransferase family protein","-","-"
"BraA02004132",2.52549428487884,6.30119393094186,53.0088449347684,1.95533773415891e-07,1.22325182574171e-06,FALSE," 36.84953","212.84519","BraA02004132","AT5G25220","KNAT3","homeobox protein knotted-1-like 3","YES","-"
"BraA07003299",1.30619611004101,4.11524808698331,52.9813678343994,1.96368008218955e-07,1.22603429169629e-06,FALSE," 9.858013","24.436865","BraA07003299","AT1G69580","AT1G69580","Homeodomain-like superfamily protein","YES","-"
"BraA02003033",5.27926037885512,4.74719771334689,52.9384476581584,1.97678860806064e-07,1.23324029690346e-06,FALSE," 2.310565","93.017794","BraA02003033","AT4G12580","AT4G12580","hypothetical protein","-","-"
"BraA02004306",1.36010798935774,9.07412638974299,52.9108470687103,1.98526849783745e-07,1.23754955073115e-06,FALSE," 363.7868"," 933.8960","BraA02004306","AT5G62000","ARF2","auxin response factor 2","YES","YES"
"BraA10001335",3.12046564503539,3.95882948383916,52.8414795458438,2.00675570571781e-07,1.24945944651892e-06,FALSE," 4.842650","43.476285","BraA10001335","AT5G57910","AT5G57910","ribosomal RNA small subunit methyltransferase G","-","-"
"BraA09003891",3.45969879918219,9.70897769096222,52.8181389519918,2.01404237822038e-07,1.25350047580818e-06,FALSE," 254.76411","2803.59944","BraA09003891","AT1G28330","DYL1","dormancy-associated protein-like 1","-","-"
"BraA10002379",1.98235279690465,4.52858781582467,52.7665966354161,2.0302353659671e-07,1.2619360892892e-06,FALSE,"13.11198","51.92394","BraA10002379","AT5G12200","PYD2","pyrimidine 2","-","-"
"BraA03003856",1.36900906248383,3.79536475362293,52.7647975806015,2.03080312208992e-07,1.2619360892892e-06,FALSE," 8.924468","23.085194","BraA03003856","AT2G15900","AT2G15900","phox domain-containing protein","-","-"
"BraA05002387",5.81658663920897,3.50371681278735,52.7172360612325,2.04587560947855e-07,1.26930455318897e-06,FALSE," 0.8635814","49.7181168","BraA05002387","AT1G32350","AOX1D","alternative oxidase 1D","-","-"
"BraA01000031",2.88356408405581,6.30841116386074,52.6627065924905,2.06330601253922e-07,1.27910345164897e-06,FALSE," 31.38619","231.54512","BraA01000031","AT4G39090","RD19","Papain family cysteine protease","-","YES"
"BraA06000925",1.40517370531272,3.68540293878293,52.4564548849938,2.13070879524477e-07,1.31673955387329e-06,FALSE," 9.723456","25.669402","BraA06000925","AT1G51130","AT1G51130","Nse4, component of Smc5/6 DNA repair complex","-","-"
"BraA03004866",2.06302002561395,6.01782691254948,52.3773367928948,2.15719626856753e-07,1.33153997126482e-06,FALSE," 37.08989","154.70758","BraA03004866","AT3G51710","AT3G51710","D-mannose binding lectin protein with Apple-like carbohydrate-binding domain-containing protein","-","-"
"BraA02004355",3.40871766702659,6.16566376947066,52.3606531908227,2.16282722675054e-07,1.33449237746192e-06,FALSE," 19.08979","203.88570","BraA02004355","AT5G62680","GTR2","Major facilitator superfamily protein","-","-"
"BraA01004640",1.21510585764936,5.20857128982976,52.3187681619045,2.177034542086e-07,1.34220617675024e-06,FALSE,"26.15941","61.03958","BraA01004640","AT3G03740","BPM4","BTB-POZ and MATH domain 4","-","-"
"BraA01001228",1.90865480962555,3.47398307608149,52.2772406115422,2.19122077417904e-07,1.34958948731234e-06,FALSE," 5.870793","22.330568","BraA01001228","AT4G20380","LSD1","LSD1 zinc finger family protein","YES","YES"
"BraA10001797",1.83724726973111,6.20589045869037,52.2761857820262,2.19158242031153e-07,1.34958948731234e-06,FALSE," 45.44059","162.67080","BraA10001797","AT5G19860","AT5G19860","transmembrane protein, putative (Protein of unknown function, DUF538)","-","-"
"BraA04001985",9.31634816795208,4.97894038531775,52.2340516480301,2.20608119353326e-07,1.35692528277505e-06,FALSE,"  0.1842789","144.0085461","BraA04001985","AT3G57020","AT3G57020","Calcium-dependent phosphotriesterase superfamily protein","-","-"
"BraA09000556",3.27010084593358,3.6949178169744,52.2224547462335,2.21009007077337e-07,1.35886006695206e-06,FALSE," 4.234501","40.671882","BraA09000556","AT5G27920","AT5G27920","F-box family protein","-","-"
"BraA06001620",2.59760569883027,2.97432639856417,52.1879637619995,2.2220599499108e-07,1.36462050767054e-06,FALSE," 3.027531","18.727580","BraA06001620","AT1G14340","AT1G14340","RNA-binding (RRM/RBD/RNP motifs) family protein","-","-"
"BraSca000148",1.06553879700343,7.21842391483352,52.1573327813641,2.2327493146933e-07,1.37011595373382e-06,FALSE,"118.09077","247.16450","BraSca000148","AT5G50380","EXO70F1","exocyst subunit exo70 family protein F1","-","-"
"BraA10000085",3.70082076567765,7.30874174588209,52.1442364978232,2.23733659655417e-07,1.37214395012302e-06,FALSE," 28.86088","376.62557","BraA10000085","AT1G01060","LHY","Homeodomain-like superfamily protein","YES","YES"
"BraA03002682",1.17296996503339,3.58348751202193,52.1411741747628,2.23841072408333e-07,1.37214395012302e-06,FALSE," 7.166827","16.169236","BraA03002682","AT2G26590","RPN13","regulatory particle non-ATPase 13","-","-"
"BraA04002841",1.14010234149433,7.03030080412323,52.1404368805342,2.23866941798979e-07,1.37214395012302e-06,FALSE," 99.66325","219.55220","BraA04002841","AT2G39580","AT2G39580","zinc finger C3H1 domain protein","-","-"
"BraA02000058",1.24335419451477,4.84526337068221,52.1295713845417,2.24248555653616e-07,1.37368430969316e-06,FALSE,"21.41090","50.54225","BraA02000058","AT5G02310","PRT6","proteolysis 6","-","-"
"BraA02001468",1.15131868892973,6.23118574824578,52.1160963546632,2.24722802804694e-07,1.37578254225822e-06,FALSE," 57.72970","128.28184","BraA02001468","AT5G55100","AT5G55100","SWAP (Suppressor-of-White-APricot)/surp domain-containing protein","-","-"
"BraA03003162",1.33954260554199,4.53380254020149,52.1008179744409,2.25261836788315e-07,1.37854638843238e-06,FALSE,"16.07568","40.63982","BraA03003162","AT4G00990","AT4G00990","Transcription factor jumonji (jmjC) domain-containing protein","-","-"
"BraA01000513",1.26997462668785,5.78880391732397,52.0900901364592,2.25641163407295e-07,1.38033109678618e-06,FALSE," 38.77716"," 93.31773","BraA01000513","AT4G33210","SLOMO","F-box family protein","-","-"
"BraA08003608",4.26139835374945,3.66887988273172,52.0824611294393,2.25911340476323e-07,1.38144696934628e-06,FALSE," 2.408426","46.616012","BraA08003608","AT1G11190","BFN1","bifunctional nuclease i","-","YES"
"BraA10002016",1.26579078415685,7.01870723443842,52.0402050431144,2.27414196607666e-07,1.38957483449754e-06,FALSE," 98.38378","236.57541","BraA10002016","AT5G17380","AT5G17380","Thiamine pyrophosphate dependent pyruvate decarboxylase family protein","-","-"
"BraA07003971",1.06321954876615,6.81952683281705,52.0382104727839,2.27485402364636e-07,1.38957483449754e-06,FALSE," 85.27574","178.04402","BraA07003971","AT1G77800","AT1G77800","PHD finger family protein","-","-"
"BraA01001174",1.01039608144591,4.79326753341679,52.0264333967925,2.27906335757816e-07,1.39148398946006e-06,FALSE,"20.20370","40.75604","BraA01001174","AT4G19645","AT4G19645","TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein","-","-"
"BraA08001430",1.40648022430003,3.66885290204638,52.0038275757716,2.28716680986923e-07,1.39589009644597e-06,FALSE," 9.119350","23.899751","BraA08001430","AT4G19210","ABCE2","RNAse l inhibitor protein 2","-","-"
"BraA05003299",1.46972757454029,4.09893257760401,51.9966715930141,2.28973851727703e-07,1.39637676334523e-06,FALSE,"11.13004","31.10050","BraA05003299","AT3G18520","HDA15","histone deacetylase 15","-","-"
"BraA04001645",2.07172648094074,8.03166827989046,51.9752347719812,2.29746127693006e-07,1.40000156790086e-06,FALSE,"138.5276","582.6780","BraA04001645","AT2G22660","AT2G22660","DNA-binding protein, putative (duplicated DUF1399)","-","-"
"BraA02003211",1.35872573108487,5.3063737713488,51.943862050476,2.30881458091673e-07,1.40637544518689e-06,FALSE,"29.75086","76.50194","BraA02003211","AT5G47090","AT5G47090","coiled-coil protein","-","-"
"BraA02000198",1.15143930316229,3.99715160630016,51.9014027267406,2.3242771527022e-07,1.41469924143591e-06,FALSE,"11.96052","26.38902","BraA02000198","AT5G05780","RPN8A","RP non-ATPase subunit 8A","-","YES"
"BraA03005327",4.40082099339899,3.06746468351805,51.8946969515437,2.32672949299288e-07,1.41564446152717e-06,FALSE," 1.477256","31.454943","BraA03005327","AT4G21980","APG8A","Ubiquitin-like superfamily protein","-","YES"
"BraA03006522",2.6119808561939,2.12505166653683,51.8253275218662,2.3522639299769e-07,1.42786865629913e-06,FALSE," 1.757409","10.538687","BraA03006522","AT4G37660","AT4G37660","Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein","-","-"
"BraA01001968",1.43140196328097,3.73576195509623,51.7267311576047,2.38908204001771e-07,1.44798426299109e-06,FALSE," 8.028918","21.767011","BraA01001968","AT4G27780","ACBP2","acyl-CoA binding protein 2","-","-"
"BraA10000998",3.95413291916599,1.89888605394598,51.6949521362657,2.40108212334206e-07,1.4541374613853e-06,FALSE," 0.6285772","10.7677723","BraA10000998","AT1G04870","PRMT10","protein arginine methyltransferase 10","-","-"
"BraA08001939",1.39681712783265,3.27278448065787,51.6560278008111,2.41586967326686e-07,1.46253033297002e-06,FALSE," 6.288508","16.655855","BraA08001939","AT4G16250","PHYD","phytochrome D","-","-"
"BraA03000622",2.0311628278461,7.26274278150976,51.5579008196277,2.45358967013079e-07,1.48251444943795e-06,FALSE," 84.13043","343.99241","BraA03000622","AT5G13800","PPH","pheophytinase","-","-"
"BraA06000873",2.74723682583494,2.87749802656795,51.5260168534722,2.46598323892268e-07,1.48943116579597e-06,FALSE," 2.734593","18.267293","BraA06000873","AT1G51950","IAA18","indole-3-acetic acid inducible 18","-","YES"
"BraA05001419",1.50308158228278,5.59444406187098,51.5210996869684,2.46790063054792e-07,1.49001748848578e-06,FALSE,"32.09060","90.79690","BraA05001419","AT2G31740","AT2G31740","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA09004831",1.23663471039895,4.84169072764769,51.4782917204769,2.48466170687567e-07,1.49956193505456e-06,FALSE,"21.56984","50.63795","BraA09004831","AT3G54650","FBL17","RNI-like superfamily protein","-","-"
"BraA02000333",1.48119754558747,5.5453904563649,51.4462553042678,2.49728620021485e-07,1.50602623721769e-06,FALSE,"33.33048","93.15205","BraA02000333","AT5G09670","AT5G09670","loricrin-like protein","-","-"
"BraA03006396",1.12032351220468,5.80150392442058,51.4133883545391,2.51031045295519e-07,1.51272153635202e-06,FALSE,"43.27746","94.04051","BraA03006396","AT4G35790","PLDDELTA","phospholipase D delta","-","-"
"BraA08003969",5.86977763881148,2.44250633996295,51.4072677281259,2.51274402896923e-07,1.51360853486321e-06,FALSE," 0.4864608","30.9387198","BraA08003969","AT1G03790","SOM","Zinc finger C-x8-C-x5-C-x3-H type family protein","YES","-"
"BraA07003288",6.32468970945373,5.6117286813254,51.3702980597576,2.52749787664747e-07,1.52133141791324e-06,FALSE,"  2.387728","195.651783","BraA07003288","AT1G69490","NAP","NAC-like, activated by AP3/PI","YES","YES"
"BraA10002998",5.24657429078781,1.39154700121991,51.3235700280751,2.5462809283831e-07,1.53205129253631e-06,FALSE," 0.2467646","10.6802708","BraA10002998","AT5G04250","AT5G04250","Cysteine proteinases superfamily protein","-","-"
"BraA09002845",1.00450229853564,4.1300686825628,51.299447158616,2.55603680678075e-07,1.53733356280966e-06,FALSE,"12.42008","24.93483","BraA09002845","AT4G06676","AT4G06676","etoposide-induced protein","-","-"
"BraA09003136",2.13196924709045,3.32259429870634,51.2670690020606,2.56919522678988e-07,1.5434783538043e-06,FALSE," 5.508052","24.326759","BraA09003136","AT4G05060","AT4G05060","PapD-like superfamily protein","-","-"
"BraA06001780",1.36837855098067,4.04818233150755,51.2466076344049,2.57754863326884e-07,1.54731561737802e-06,FALSE,"12.426210","31.876400","BraA06001780","AT1G15880","GOS11","golgi snare 11","-","-"
"BraA08001402",5.55605536162584,2.49206966966993,51.2415777020201,2.57960663259608e-07,1.54796067087542e-06,FALSE," 0.3285585","18.2953526","BraA08001402","AT4G18830","OFP5","ovate family protein 5","-","YES"
"BraA07001331",2.5199487889959,3.03555276220249,51.2224177529576,2.58746230593693e-07,1.5520829533326e-06,FALSE," 3.844938","22.044066","BraA07001331","AT1G27150","AT1G27150","Tetratricopeptide repeat (TPR)-like superfamily protein","-","-"
"BraA08003881",3.26635561592899,5.10541499530442,51.0355403794835,2.66546095510674e-07,1.59340506773187e-06,FALSE," 11.752728","114.435007","BraA08003881","AT1G05680","UGT74E2","Uridine diphosphate glycosyltransferase 74E2","-","-"
"BraA04000626",2.33573184241199,3.24218290796524,51.0107848749418,2.67598358809401e-07,1.59848127804932e-06,FALSE," 4.636102","23.391309","BraA04000626","AT3G53630","AT3G53630","hypothetical protein","-","-"
"BraA01002631",1.99272799053784,3.74896009721196,50.9558590481823,2.69949203754901e-07,1.60946987390233e-06,FALSE," 7.037579","27.880180","BraA01002631","AT3G47640","PYE","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA06004571",1.04582958773278,6.10841209973228,50.9381361879022,2.70712530001656e-07,1.61279910000987e-06,FALSE," 53.47395","110.21843","BraA06004571","AT2G01130","AT2G01130","DEA(D/H)-box RNA helicase family protein","-","-"
"BraA03001070",1.90596538018234,5.42621001095234,50.9166079869987,2.71642909372916e-07,1.61653465992156e-06,FALSE,"22.45158","84.72508","BraA03001070","AT5G22000","RHF2A","RING-H2 group F2A","-","-"
"BraA03004558",2.2824195054305,4.76038033073492,50.9164982567667,2.71647660450605e-07,1.61653465992156e-06,FALSE,"13.16853","64.04508","BraA03004558","AT2G15970","COR413-PM1","cold regulated 413 plasma membrane 1","-","-"
"BraA07000240",1.58577429048387,5.48973023391796,50.9027527065266,2.7224352728856e-07,1.61946829913905e-06,FALSE," 28.69260"," 86.05609","BraA07000240","AT2G18280","TLP2","tubby like protein 2","-","-"
"BraA03005721",1.96137932700048,5.93767587192585,50.8963158712318,2.72523050971449e-07,1.62051863327941e-06,FALSE," 33.19306","129.45013","BraA03005721","AT5G54430","PHOS32","Adenine nucleotide alpha hydrolases-like superfamily protein","-","-"
"BraA03001208",1.09959440960048,4.81215629770955,50.8640439955131,2.73929187318089e-07,1.62552507933981e-06,FALSE,"22.04442","47.17949","BraA03001208","AT5G58950","AT5G58950","Protein kinase superfamily protein","-","-"
"BraA06002517",1.41930240395,5.46325776273607,50.8369009882825,2.75117955768149e-07,1.6297917289389e-06,FALSE,"36.72693","98.30018","BraA06002517","AT3G48120","AT3G48120","serine/arginine-rich splicing factor","-","-"
"BraA03004017",1.14737274390933,7.33997510219885,50.8165427932739,2.76013252303159e-07,1.63448028263797e-06,FALSE,"127.1882","281.6326","BraA03004017","AT3G16640","TCTP","translationally controlled tumor protein","-","YES"
"BraA05002530",1.89386174905922,4.13867901266766,50.8032878343629,2.76597869837258e-07,1.63732623965342e-06,FALSE,"10.063796","37.320613","BraA05002530","AT3G22520","AT3G22520","spindle assembly abnormal protein","-","-"
"BraA06002079",7.36909064667349,2.74412650245665,50.7762797049237,2.77793247352306e-07,1.64378410275387e-06,FALSE," 0.1495524","27.7308120","BraA06002079","AT1G19200","AT1G19200","cyclin-dependent kinase, putative (DUF581)","-","-"
"BraA05001514",1.07845449133473,4.79943905512835,50.7602594676923,2.78504953443027e-07,1.64737616204181e-06,FALSE,"20.41997","43.25932","BraA05001514","AT2G30740","AT2G30740","Protein kinase superfamily protein","-","-"
"BraA05001539",3.80094660856722,4.90773213970018,50.7563745273959,2.78677841979681e-07,1.64777957654402e-06,FALSE," 6.798869","95.646980","BraA05001539","AT2G30250","WRKY25","WRKY DNA-binding protein 25","YES","-"
"BraA08001010",4.09154555856588,5.74125677387463,50.7463891324909,2.79122749755989e-07,1.64979049236172e-06,FALSE," 11.291254","194.211590","BraA08001010","AT5G40690","AT5G40690","histone-lysine N-methyltransferase trithorax-like protein","-","-"
"BraA09006530",1.36163113424446,4.22173324037153,50.7387241561826,2.79464792955555e-07,1.65119213255272e-06,FALSE,"12.53763","32.33365","BraA09006530","AT1G11060","AT1G11060","WAPL (Wings apart-like protein regulation of heterochromatin) protein","-","-"
"BraA03002826",2.37650589089288,4.60282843912378,50.6812114846677,2.82045825573803e-07,1.66530291383109e-06,FALSE,"10.93151","57.28553","BraA03002826","AT4G08900","ARGAH1","arginase","-","-"
"BraA03002555",3.23613185853328,6.88135525966823,50.6760287964964,2.82279681526566e-07,1.66532315863124e-06,FALSE," 35.73850","337.81015","BraA03002555","AT2G46600","AT2G46600","Calcium-binding EF-hand family protein","-","-"
"BraA01001198",3.48607686844754,3.94401417459895,50.6590560469082,2.83047010896164e-07,1.66850713223024e-06,FALSE," 4.089853","47.359547","BraA01001198","AT4G19960","KUP9","K  uptake permease 9","-","-"
"BraA08001011",1.18433428168445,6.20181772160184,50.6570601767971,2.83137392006795e-07,1.66850713223024e-06,FALSE," 53.81467","122.44859","BraA08001011","AT5G40670","AT5G40670","PQ-loop repeat family protein / transmembrane family protein","-","-"
"BraA05003490",1.21622011066482,4.055197582285,50.650353093146,2.8344134586566e-07,1.6696731975769e-06,FALSE,"12.26589","28.52223","BraA05003490","AT3G16310","AT3G16310","mitotic phosphoprotein N' end (MPPN) family protein","-","-"
"BraA08001493",1.01944037410095,7.13343336943514,50.613014825549,2.85139948553556e-07,1.67842288340799e-06,FALSE,"110.4487","223.9973","BraA08001493","AT4G12770","AT4G12770","Chaperone DnaJ-domain superfamily protein","-","-"
"BraA05000849",1.31854401894305,6.16233071920096,50.5785158225845,2.86719222005203e-07,1.68645760626378e-06,FALSE," 51.15991","127.36293","BraA05000849","AT2G38770","EMB2765","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA06004704",3.72324218155497,3.1831704919572,50.3737429833831,2.96291037379613e-07,1.73877691997231e-06,FALSE," 2.230563","30.430784","BraA06004704","AT5G46250","LARP6a","RNA-binding protein","-","-"
"BraA03000772",2.43039272174001,4.97014126359484,50.371717123997,2.96387450844073e-07,1.73877691997231e-06,FALSE,"13.75718","74.76447","BraA03000772","AT5G16110","AT5G16110","hypothetical protein","-","-"
"BraA01000181",5.03132260557471,2.98589688142299,50.3626269774659,2.96820483447652e-07,1.74066855792327e-06,FALSE," 0.7353923","25.3961819","BraA01000181","AT4G36900","RAP2.10","related to AP2 10","YES","-"
"BraA01003572",1.20502246371861,5.0576747349796,50.3452283752107,2.97651229345981e-07,1.74453346784036e-06,FALSE,"22.97115","53.12375","BraA01003572","AT3G19860","bHLH121","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA07000444",1.71616979384648,3.75828346415217,50.344183496574,2.97701200420535e-07,1.74453346784036e-06,FALSE," 7.355032","24.570938","BraA07000444","AT2G16595","AT2G16595","Translocon-associated protein (TRAP), alpha subunit","-","-"
"BraA01001639",1.34945494929339,6.02884740018185,50.3246971624214,2.9863480211571e-07,1.74805198412097e-06,FALSE," 44.63860","113.72951","BraA01001639","AT4G24690","NBR1","ubiquitin-associated (UBA)/TS-N domain-containing protein / octicosapeptide/Phox/Bemp1 (PB1) domain-containing protein","-","-"
"BraA02000553",1.45147137267347,3.8720677654858,50.2846727665621,3.0056238883035e-07,1.75868104096271e-06,FALSE," 9.29671","25.53587","BraA02000553","AT5G13780","AT5G13780","Acyl-CoA N-acyltransferases (NAT) superfamily protein","-","-"
"BraA09003973",3.64616145547494,4.86031849315121,50.269962698588,3.01274224269792e-07,1.76219111482963e-06,FALSE," 7.551492","93.086127","BraA09003973","AT1G27300","AT1G27300","transmembrane protein","-","-"
"BraA05004295",1.25297598737843,5.24432326529687,50.2259044344994,3.03417232699831e-07,1.77209174125986e-06,FALSE,"27.30553","64.83349","BraA05004295","AT3G07100","ERMO2","Sec23/Sec24 protein transport family protein","-","-"
"BraA03006363",2.49117688939741,4.0184272652047,50.2098086197312,3.04204264977203e-07,1.77602935116512e-06,FALSE," 7.498501","42.687675","BraA03006363","AT4G35470","PIRL4","plant intracellular ras group-related LRR 4","-","-"
"BraA03000873",1.50140743856502,7.5170357259579,50.1789277399908,3.05720456478005e-07,1.78289736382505e-06,FALSE,"140.70869","398.42118","BraA03000873","AT5G17910","AT5G17910","cardiomyopathy-associated protein","-","-"
"BraA04002430",1.48320128998249,4.70848562394758,50.1666076930381,3.06327636917896e-07,1.78570933851992e-06,FALSE,"18.11468","50.27226","BraA04002430","AT2G33340","MAC3B","MOS4-associated complex 3B","-","-"
"BraA08001561",2.65942301116124,3.72151073086688,50.1645426672249,3.06429537696462e-07,1.78570933851992e-06,FALSE," 6.153681","38.706267","BraA08001561","AT4G20930","AT4G20930","6-phosphogluconate dehydrogenase family protein","-","-"
"BraA02002839",6.61878887186127,5.96563440802944,50.1047670288287,3.09395251395672e-07,1.80032578815818e-06,FALSE,"  2.1846329","224.4940201","BraA02002839","AT1G80160","GLYI7","Lactoylglutathione lyase / glyoxalase I family protein","-","-"
"BraA01002936",1.01438869233653,3.82794962122065,50.0632746844678,3.11472190288803e-07,1.81107213710593e-06,FALSE,"10.253715","20.754259","BraA01002936","AT1G58110","AT1G58110","Basic-leucine zipper (bZIP) transcription factor family protein","YES","-"
"BraA03006253",1.84655841075278,4.27654567696868,50.0321435255049,3.13040437739191e-07,1.81951864476177e-06,FALSE,"10.79333","38.88217","BraA03006253","AT4G33950","OST1","Protein kinase superfamily protein","-","YES"
"BraA01000008",2.36985286306555,6.3895209030264,50.0114175592905,3.14089275402533e-07,1.82426759957043e-06,FALSE," 42.59997","220.78273","BraA01000008","AT4G38470","STY46","ACT-like protein tyrosine kinase family protein","-","-"
"BraA03005211",1.40130970949153,5.91972687139905,49.9602626439867,3.16694350797075e-07,1.83804169673524e-06,FALSE," 41.32935","108.84176","BraA03005211","AT4G19500","AT4G19500","nucleoside-triphosphatase/transmembrane receptor/nucleotide binding/ATP binding protein","-","-"
"BraA03001092",1.43755997676373,4.23769574669722,49.8924573144914,3.20183603948903e-07,1.85572653196024e-06,FALSE,"12.18910","33.14475","BraA03001092","AT5G22360","VAMP714","vesicle-associated membrane protein 714","-","-"
"BraA07000715",1.27594744611286,4.05619870826356,49.8678178147993,3.21461879712564e-07,1.8617827583103e-06,FALSE,"11.31823","27.53611","BraA07000715","AT1G17450","AT1G17450","B-block binding subunit of TFIIIC","-","-"
"BraA05002449",1.16101589773109,6.69222975013067,49.7846578870402,3.25817255410873e-07,1.88404246883436e-06,FALSE," 67.15151","150.19995","BraA05002449","AT1G31812","ACBP6","acyl-CoA-binding protein 6","-","-"
"BraA10002003",1.076570990062,3.98603977348464,49.7668815300424,3.26756559411505e-07,1.88739385142645e-06,FALSE,"11.54385","24.42230","BraA10002003","AT5G17510","AT5G17510","mediator of RNA polymerase II transcription subunit-like protein","-","YES"
"BraA06005008",1.1533279242377,4.53837836960722,49.6934858012785,3.3066607091501e-07,1.90717623898947e-06,FALSE,"16.34307","36.35207","BraA06005008","AT4G38360","LAZ1","organic solute transporter ostalpha protein (DUF300)","-","-"
