"","logFC","logCPM","F","PValue","FDR","gene.ID","Gene_ID","A._thaliana_best_hit","Symbol","Description","TF","Leaf_development"
"BraA07002703",-4.40453325971895,3.50496939081785,92.6314329319006,1.37936834142425e-08,3.06145842322313e-07,"BraA07002703","BraA07002703","AT1G73680","ALPHA DOX2","alpha dioxygenase","-","YES"
"BraA05000422",4.08399256280305,4.6790948361039,92.3031602458993,1.41764762870079e-08,3.07697973589456e-07,"BraA05000422","BraA05000422","AT2G42890","ML2","MEI2-like 2","-","-"
"BraA06003369",-4.36743646430042,5.95252553161485,92.0016191228122,1.45385055244205e-08,3.12965694845801e-07,"BraA06003369","BraA06003369","AT5G65880","AT5G65880","transmembrane protein","-","-"
"BraA08002956",-3.75058612248753,4.19004759585244,91.9499439549829,1.4601570176329e-08,3.13893863790592e-07,"BraA08002956","BraA08002956","AT1G26090","AT1G26090","P-loop containing nucleoside triphosphate hydrolases superfamily protein","-","-"
"BraA05003995",4.12077420848118,5.51179077934103,91.7940705599247,1.47936448635476e-08,3.17589079908302e-07,"BraA05003995","BraA05003995","AT3G10985","SAG20","senescence associated gene 20","-","YES"
"BraA08000221",-3.53144825826737,5.16608749133068,91.6498796325134,1.49738224268973e-08,3.20146833844642e-07,"BraA08000221","BraA08000221","AT1G52191","AT1G52191","Thioesterase superfamily protein","-","-"
"BraA03002738",-5.14200942731373,6.72464212285919,91.6287089542869,1.50004811953719e-08,3.20281644627371e-07,"BraA03002738","BraA03002738","AT2G21340","AT2G21340","MATE efflux family protein","-","-"
"BraA01000400",-3.43036064055081,3.64460610722651,91.5665599106605,1.50790458613161e-08,3.21522853216354e-07,"BraA01000400","BraA01000400","AT4G34540","AT4G34540","NmrA-like negative transcriptional regulator family protein","-","-"
"BraA03000660",-4.08492138267574,8.13904797769752,91.4024830497927,1.5288663419079e-08,3.24396414232187e-07,"BraA03000660","BraA03000660","AT3G46610","AT3G46610","Pentatricopeptide repeat (PPR-like) superfamily protein","-","-"
"BraA08001201",4.18911639474882,3.0418916211843,91.0366983530207,1.57677109378489e-08,3.32483747914166e-07,"BraA08001201","BraA08001201","AT4G15630","AT4G15630","Uncharacterized protein family (UPF0497)","-","-"
"BraA05003505",-3.02759829768601,9.13243616849105,90.702166958426,1.62204420977731e-08,3.38072684570274e-07,"BraA05003505","BraA05003505","AT3G16140","PSAH-1","photosystem I subunit H-1","-","-"
"BraA08003717",-3.71199700835747,5.90512574131408,90.4297256864096,1.65998108667116e-08,3.420867782466e-07,"BraA08003717","BraA08003717","AT1G09210","CRT1b","calreticulin 1b","-","YES"
"BraA07002302",-3.50889065185265,4.73735644425797,90.3430568994999,1.67225512714875e-08,3.43021547008751e-07,"BraA07002302","BraA07002302","AT3G61770","AT3G61770","Acid phosphatase/vanadium-dependent haloperoxidase-related protein","-","-"
"BraA09000036",-3.21482326471829,5.69289413465983,90.3299047974578,1.67412651310829e-08,3.43021547008751e-07,"BraA09000036","BraA09000036","AT4G00370","ANTR2","Major facilitator superfamily protein","-","-"
"BraA04000404",-4.24322837560544,5.38839661385549,90.2440297235438,1.68640276920318e-08,3.44994028734022e-07,"BraA04000404","BraA04000404","AT3G56650","PPD6","thylakoid lumenal protein (Mog1/PsbP/DUF1795-like photosystem II reaction center PsbP family protein)","-","YES"
"BraA08000121",6.68554983692626,7.83368658743764,89.9571215969984,1.72814760585335e-08,3.50892009363978e-07,"BraA08000121","BraA08000121","AT1G54100","ALDH7B4","aldehyde dehydrogenase 7B4","-","-"
"BraA09000144",-5.66955504203894,3.37349053952031,89.8638427272463,1.74196555193162e-08,3.52820206514934e-07,"BraA09000144","BraA09000144","AT4G01883","AT4G01883","Polyketide cyclase / dehydrase and lipid transport protein","-","-"
"BraA01003904",-6.46296802545642,6.02568133588673,89.8627493605388,1.74212824391271e-08,3.52820206514934e-07,"BraA01003904","BraA01003904","AT3G16250","PnsB3","NDH-dependent cyclic electron flow 1","-","-"
"BraA09006919",-5.68423326047272,4.55840433459273,89.5629961844234,1.78737376513626e-08,3.60129495111194e-07,"BraA09006919","BraA09006919","AT1G03055","D27","beta-carotene isomerase D27-like protein","-","-"
"BraA07001570",-5.36902918846535,5.89470895738591,89.5169175921183,1.79444390324184e-08,3.60630514194298e-07,"BraA07001570","BraA07001570","AT1G20340","DRT112","Cupredoxin superfamily protein","-","YES"
"BraA07003717",-5.00364283781159,4.32904106294168,89.5015820321685,1.7968038154025e-08,3.60644194377217e-07,"BraA07003717","BraA07003717","AT1G74730","AT1G74730","transmembrane protein, putative (DUF1118)","-","-"
"BraA02000548",-3.67698362307716,4.21537825629979,89.082665476554,1.86261967806569e-08,3.70545932415192e-07,"BraA02000548","BraA02000548","AT5G13730","SIG4","sigma factor 4","-","-"
"BraA03001589",-3.13604741526439,5.49751909425855,88.9814989071521,1.87891202360009e-08,3.72844383396861e-07,"BraA03001589","BraA03001589","AT5G52060","BAG1","BCL-2-associated athanogene 1","-","-"
"BraA04001575",-5.22650365108109,5.7878297151026,88.7902692671631,1.91014224696782e-08,3.77139252174223e-07,"BraA04001575","BraA04001575","AT2G21960","AT2G21960","transmembrane protein","-","-"
"BraA01002956",-3.435548821269,7.55710230397732,88.7030733704953,1.92457326619261e-08,3.79037358157783e-07,"BraA01002956","BraA01002956","AT1G58290","HEMA1","Glutamyl-tRNA reductase family protein","-","-"
"BraA09000349",-5.75611090772314,5.23762013408627,88.6532994331346,1.93286511494187e-08,3.79719918211302e-07,"BraA09000349","BraA09000349","AT3G27850","RPL12-C","ribosomal protein L12-C","-","YES"
"BraA09005351",-3.08283366189117,10.2915907439008,88.568794605819,1.94703371394467e-08,3.81550716346617e-07,"BraA09005351","BraA09005351","AT3G60750","AT3G60750","Transketolase","-","-"
"BraA01003610",-3.1597610307592,4.24858338175419,88.5154952930414,1.95602944804029e-08,3.82836808387587e-07,"BraA01003610","BraA01003610","AT3G19390","AT3G19390","Granulin repeat cysteine protease family protein","-","-"
"BraA04002150",7.41323367711058,2.5605345386649,88.3778873782122,1.97946855019424e-08,3.85644479867793e-07,"BraA04002150","BraA04002150","AT3G62460","AT3G62460","Putative endonuclease or glycosyl hydrolase","-","-"
"BraA06004926",-3.26555220964842,3.7987633202489,88.3775799555167,1.97952126191596e-08,3.85644479867793e-07,"BraA06004926","BraA06004926","AT5G42880","AT5G42880","WEAK CHLOROPLAST MOVEMENT UNDER BLUE LIGHT-like protein (DUF827)","-","-"
"BraA01004592",-3.40463477762851,7.62918733243413,88.3268683825465,1.98823779264478e-08,3.86683172340161e-07,"BraA01004592","BraA01004592","AT3G04790","EMB3119","Ribose 5-phosphate isomerase, type A protein","-","YES"
"BraA01001824",-6.79262889427496,8.41471993119623,88.2720908398397,1.99770107347142e-08,3.87618052924122e-07,"BraA01001824","BraA01001824","AT4G26530","FBA5","Aldolase superfamily protein","-","-"
"BraA10001806",-3.29865796432807,3.98538345779268,88.2080288142428,2.00883177759707e-08,3.89293012334521e-07,"BraA10001806","BraA10001806","AT5G19750","AT5G19750","Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein","-","-"
"BraA07003883",-3.31199165308984,4.79102770834721,88.185660089372,2.01273451180702e-08,3.89293012334521e-07,"BraA07003883","BraA07003883","AT1G76450","AT1G76450","Photosystem II reaction center PsbP family protein","-","-"
"BraA07003789",-3.13995049028266,3.20522289827718,88.163370151954,2.0166318695455e-08,3.89293012334521e-07,"BraA07003789","BraA07003789","AT1G75680","GH9B7","glycosyl hydrolase 9B7","-","-"
"BraA09000270",-4.46667055137237,4.96895988632162,87.9193073199219,2.05985803626248e-08,3.9455174835504e-07,"BraA09000270","BraA09000270","AT4G03400","DFL2","Auxin-responsive GH3 family protein","-","-"
"BraA02001088",-5.52694555084721,6.31251409296083,87.8989613590026,2.06350768787298e-08,3.9455174835504e-07,"BraA02001088","BraA02001088","AT5G22860","AT5G22860","Serine carboxypeptidase S28 family protein","-","-"
"BraA04003312",-3.90052541398658,10.0083109141133,87.8829375009576,2.06638709260994e-08,3.94619748656674e-07,"BraA04003312","BraA04003312","AT2G46810","AT2G46810","basic helix-loop-helix (bHLH) DNA-binding superfamily protein","YES","-"
"BraA05004268",-4.40530447481729,5.25386667542058,87.8046359185877,2.08052175029208e-08,3.9539964085261e-07,"BraA05004268","BraA05004268","AT3G07320","AT3G07320","O-Glycosyl hydrolases family 17 protein","-","-"
"BraA06000683",-8.03406617949298,2.71376843394559,87.5883624829899,2.12012297197342e-08,4.0098864287228e-07,"BraA06000683","BraA06000683","AT3G13520","AGP12","arabinogalactan protein 12","-","-"
"BraA04002321",-3.83777496806805,5.79461700744028,87.4466775290763,2.14651965709924e-08,4.04522554779805e-07,"BraA04002321","BraA04002321","AT2G31360","ADS2","16:0delta9 desaturase 2","-","-"
"BraA07003348",-3.65005289307063,7.55262441513402,87.1398173685914,2.20494857684571e-08,4.11145114829931e-07,"BraA07003348","BraA07003348","AT1G24180","IAR4","Thiamin diphosphate-binding fold (THDP-binding) superfamily protein","-","-"
"BraA07001988",-7.0344130466541,3.53438225411233,87.0607382445528,2.22029043997949e-08,4.13473258739849e-07,"BraA07001988","BraA07001988","AT3G55110","ABCG18","ABC-2 type transporter family protein","-","-"
"BraA07000914",-3.08720298288808,5.7113060090786,87.0209986791781,2.22804485849933e-08,4.14426878171933e-07,"BraA07000914","BraA07000914","AT3G23410","FAO3","fatty alcohol oxidase 3","-","-"
"BraA06004710",3.5098285334719,6.65771185873659,86.9807215639223,2.23593484253883e-08,4.1491356936546e-07,"BraA06004710","BraA06004710","AT5G46180","DELTA-OAT","ornithine-delta-aminotransferase","-","-"
"BraA03000034",-3.02594090649734,4.60825588430958,86.9500843834422,2.24195719512114e-08,4.15501012783069e-07,"BraA03000034","BraA03000034","AT5G01500","TAAC","thylakoid ATP/ADP carrier","-","-"
"BraA09003486",-4.33303259991864,8.10656417880423,86.92438973039,2.24702187263849e-08,4.15501012783069e-07,"BraA09003486","BraA09003486","AT1G32470","AT1G32470","Single hybrid motif superfamily protein","-","-"
"BraA10001970",-3.02954233762951,8.18820532946039,86.9055419527866,2.25074503231346e-08,4.15635868627374e-07,"BraA10001970","BraA10001970","AT5G17920","ATMS1","Cobalamin-independent synthase family protein","-","-"
"BraA03004313",-7.94903343474768,8.05309975761479,86.887924182887,2.2542314082145e-08,4.15635868627374e-07,"BraA03004313","BraA03004313","AT3G22890","APS1","ATP sulfurylase 1","-","-"
"BraA05001136",-6.05367278090274,3.81394186557529,86.8778060928933,2.25623638283779e-08,4.15635868627374e-07,"BraA05001136","BraA05001136","AT2G34860","EDA3","DnaJ/Hsp40 cysteine-rich domain superfamily protein","-","-"
"BraA03000344",-3.91493914717524,6.62136669602958,86.8673198716939,2.25831639346978e-08,4.15635868627374e-07,"BraA03000344","BraA03000344","AT5G08050","AT5G08050","wiskott-aldrich syndrome family protein, putative (DUF1118)","-","-"
"BraA05004278",-3.19920343490874,4.13318640382129,86.7999321303875,2.27173406861989e-08,4.17616907754703e-07,"BraA05004278","BraA05004278","AT3G07270","AT3G07270","GTP cyclohydrolase I","-","-"
"BraA05004000",-4.77956365878642,3.8253200984928,86.7510761128023,2.28151717243643e-08,4.18092532059355e-07,"BraA05004000","BraA05004000","AT3G10940","LSF2","dual specificity protein phosphatase (DsPTP1) family protein","-","-"
"BraA09001606",-4.03315874077662,4.0774143451664,86.7472161211678,2.28229210116285e-08,4.18092532059355e-07,"BraA09001606","BraA09001606","AT1G63470","AT1G63470","AT hook motif DNA-binding family protein","-","-"
"BraA08000387",-4.88973062536323,4.8045565036801,86.688806232478,2.29405413742957e-08,4.19758557053392e-07,"BraA08000387","BraA08000387","AT1G49010","AT1G49010","Duplicated homeodomain-like superfamily protein","YES","-"
"BraA09005643",3.44885980778832,7.163630957947,86.6526336033526,2.3013719567045e-08,4.20608468184692e-07,"BraA09005643","BraA09005643","AT2G25070","AT2G25070","Protein phosphatase 2C family protein","-","-"
"BraA04000940",-4.24596810548671,3.33738335234729,86.4690775429121,2.33890726087424e-08,4.24021251810103e-07,"BraA04000940","BraA04000940","AT4G13150","AT4G13150","transmembrane protein","-","-"
"BraA03005831",-4.06714494246149,7.32236634537654,86.3338899352454,2.36698608296485e-08,4.2579617275558e-07,"BraA03005831","BraA03005831","AT4G28740","AT4G28740","LOW PSII ACCUMULATION-like protein","-","-"
"BraA03000090",-4.45867329339781,5.13887140958747,86.3061797934208,2.37278762215623e-08,4.26235000254001e-07,"BraA03000090","BraA03000090","AT5G03300","ADK2","adenosine kinase 2","-","-"
"BraA06004703",4.00965246444374,5.77657237271142,86.0710458556575,2.42265634949086e-08,4.32232656639322e-07,"BraA06004703","BraA06004703","AT5G46250","LARP6a","RNA-binding protein","-","-"
"BraA04002028",4.90538418497357,4.64735331649333,85.9837345062673,2.4414690750488e-08,4.35095779897711e-07,"BraA04002028","BraA04002028","AT2G28110","FRA8","Exostosin family protein","-","-"
"BraA03006267",-4.33496653277972,7.7668808995103,85.6292809584706,2.51952442265185e-08,4.46477886428486e-07,"BraA03006267","BraA03006267","AT4G34090","AT4G34090","cyclin delta-3","-","YES"
"BraA10002541",-4.30260562018237,5.13777645473508,85.0134757860488,2.66180314543622e-08,4.62319363096958e-07,"BraA10002541","BraA10002541","AT5G10180","SULTR2;1","slufate transporter 2;1","-","-"
"BraA04001703",-5.75933511647348,2.96339222210576,84.9827712267689,2.66912705044221e-08,4.62639211299186e-07,"BraA04001703","BraA04001703","AT2G23200","AT2G23200","Protein kinase superfamily protein","-","-"
"BraA08003195",-3.70153634000367,10.1817877676649,84.9237563243668,2.68326664080534e-08,4.64509173374178e-07,"BraA08003195","BraA08003195","AT1G20340","DRT112","Cupredoxin superfamily protein","-","YES"
"BraA07002705",-3.37801828801899,7.55260999762581,84.8794352231932,2.69394033796734e-08,4.65844452288506e-07,"BraA07002705","BraA07002705","AT1G73655","AT1G73655","FKBP-like peptidyl-prolyl cis-trans isomerase family protein","-","-"
"BraA10001950",4.95228605824698,5.024590447821,84.7740225480445,2.71951627274865e-08,4.68948145874333e-07,"BraA10001950","BraA10001950","AT5G18130","AT5G18130","transmembrane protein","-","-"
"BraA01004189",-3.12367391728234,10.0639552015387,84.6754320783525,2.7436809679532e-08,4.71853155319252e-07,"BraA01004189","BraA01004189","AT3G12780","PGK1","phosphoglycerate kinase 1","-","-"
"BraA04003296",4.31285912523113,8.81826487564138,84.3751880783918,2.8187511027854e-08,4.81605508723464e-07,"BraA04003296","BraA04003296","AT2G46600","AT2G46600","Calcium-binding EF-hand family protein","-","-"
"BraA03004811",5.95527109981394,4.0435488518202,84.3430127637451,2.82693018103734e-08,4.82008647277423e-07,"BraA03004811","BraA03004811","AT3G50770","CML41","calmodulin-like 41","-","-"
"BraA06000163",-3.64225229731474,3.65819954948483,84.2455669918836,2.85186231362066e-08,4.84631807420461e-07,"BraA06000163","BraA06000163","AT5G46290","KASI","3-ketoacyl-acyl carrier protein synthase I","-","-"
"BraA07001594",-4.45170364270512,11.1117048680597,84.1838026986282,2.86779139019237e-08,4.86813002330822e-07,"BraA07001594","BraA07001594","AT1G20020","FNR2","ferredoxin-NADP[ ]-oxidoreductase 2","-","-"
"BraA01000943",-3.25202378704086,8.83213855457703,84.0672141439141,2.89812945002027e-08,4.90453842304373e-07,"BraA01000943","BraA01000943","AT2G20260","PSAE-2","photosystem I subunit E-2","-","-"
"BraA08001833",3.00466989345846,5.10131720227602,84.0654558998724,2.8985896882503e-08,4.90453842304373e-07,"BraA08001833","BraA08001833","AT4G32150","VAMP711","vesicle-associated membrane protein 711","-","-"
"BraA03000032",3.25621262619704,4.92685888178586,83.8455212091735,2.95680449070009e-08,4.97096960103169e-07,"BraA03000032","BraA03000032","AT5G01520","AIRP2","RING/U-box superfamily protein","-","-"
"BraA05000438",-7.96794914153621,7.78537259579657,83.7028928738312,2.99524991912131e-08,5.02486702849605e-07,"BraA05000438","BraA05000438","AT2G43100","IPMI2","isopropylmalate isomerase 2","-","-"
"BraA08003598",-3.0536280031384,4.96563983708732,83.3411094370047,3.0952800977651e-08,5.15967453585081e-07,"BraA08003598","BraA08003598","AT1G11330","AT1G11330","S-locus lectin protein kinase family protein","-","-"
"BraA06002493",-4.46088367118385,5.47742814126057,83.3030387349783,3.10602007620588e-08,5.17209861578579e-07,"BraA06002493","BraA06002493","AT3G48420","AT3G48420","Haloacid dehalogenase-like hydrolase (HAD) superfamily protein","-","-"
"BraA08002801",3.46554037940203,4.43642679417166,83.2647849217337,3.11685337322903e-08,5.17889028679412e-07,"BraA08002801","BraA08002801","AT1G28960","NUDX15","nudix hydrolase homolog 15","-","-"
"BraA04000666",-9.81609866028879,3.18786088825957,129.473124749354,3.13692774534023e-08,5.20154847214688e-07,"BraA04000666","BraA04000666","AT3G52740","AT3G52740","hypothetical protein","-","-"
"BraA06001231",-5.33267175049394,6.20870440297499,82.6761694733075,3.28894352513377e-08,5.37433180804828e-07,"BraA06001231","BraA06001231","AT1G08650","PPCK1","phosphoenolpyruvate carboxylase kinase 1","-","-"
"BraA06002664",-5.18415102179438,4.04640610111496,82.2449106528429,3.42172033009953e-08,5.51201892663099e-07,"BraA06002664","BraA06002664","AT3G46520","ACT12","actin-12","-","-"
"BraA09006753",5.6852265273519,9.24291788011929,81.9330366590909,3.52144600638531e-08,5.61602234926749e-07,"BraA09006753","BraA09006753","AT1G06570","PDS1","4-hydroxyphenylpyruvate dioxygenase","-","-"
"BraA02001948",-3.82719214458962,8.76082333365794,81.8273545088661,3.55596740149493e-08,5.66363390991137e-07,"BraA02001948","BraA02001948","AT1G67740","PSBY","photosystem II BY","-","-"
"BraA07002501",-3.15149394457523,9.467500670031,81.758879941032,3.57853522283738e-08,5.68853067110305e-07,"BraA07002501","BraA07002501","AT1G78340","GSTU22","glutathione S-transferase TAU 22","-","-"
"BraA01004706",-4.94093492913503,3.54042988221627,81.7002464817511,3.59798595274616e-08,5.70745029762233e-07,"BraA01004706","BraA01004706","AT3G02830","ZFN1","zinc finger protein 1","YES","-"
"BraA10003007",-4.23354627177436,11.1462488407566,81.383850360955,3.70499074919451e-08,5.85358779410892e-07,"BraA10003007","BraA10003007","AT5G04140","GLU1","glutamate synthase 1","-","-"
"BraA08002654",4.21256144600035,6.78724555359194,81.3627404013268,3.71225476856482e-08,5.85472908371488e-07,"BraA08002654","BraA08002654","AT3G45300","IVD","isovaleryl-CoA-dehydrogenase","-","-"
"BraA02003490",-3.3089665026529,4.06006114726741,81.2470981577498,3.75232916247014e-08,5.89021402296319e-07,"BraA02003490","BraA02003490","AT2G02500","ISPD","Nucleotide-diphospho-sugar transferases superfamily protein","-","YES"
"BraA03003025",-3.17542804571178,6.94841594776342,80.9818601552521,3.84606960182275e-08,5.99225259943395e-07,"BraA03003025","BraA03003025","AT4G03280","PETC","photosynthetic electron transfer C","-","YES"
"BraA02004397",-4.61912646731997,4.69110842973226,80.9244442936397,3.86670186061252e-08,6.01843921647859e-07,"BraA02004397","BraA02004397","AT5G63780","SHA1","RING/FYVE/PHD zinc finger superfamily protein","-","-"
"BraA03003240",-4.66551277208513,4.01132023557163,80.675775487328,3.95748932434297e-08,6.10848977905074e-07,"BraA03003240","BraA03003240","AT3G01550","PPT2","phosphoenolpyruvate (pep)/phosphate translocator 2","-","-"
"BraA05003814",-3.09435199233598,4.99077216857374,80.5617395508004,3.99991211306155e-08,6.15742309101875e-07,"BraA05003814","BraA05003814","AT3G13120","AT3G13120","Ribosomal protein S10p/S20e family protein","-","-"
"BraA10003124",-3.48190864990048,3.6171607759056,80.1879459874333,4.14254510101858e-08,6.31404540602421e-07,"BraA10003124","BraA10003124","AT5G02400","PLL2","pol-like 2","-","-"
"BraA10002800",-4.4243731863581,6.14239586367836,80.0487851864083,4.19708057889215e-08,6.38118454004317e-07,"BraA10002800","BraA10002800","AT5G07020","AT5G07020","proline-rich family protein","-","YES"
"BraA04002705",-3.02235451961962,3.61352692681253,79.946071623815,4.23784379641483e-08,6.42453853375566e-07,"BraA04002705","BraA04002705","AT2G37540","AT2G37540","NAD(P)-binding Rossmann-fold superfamily protein","-","-"
"BraA01004368",-5.93789835204208,4.36067673115805,99.7213874103396,4.25104660313442e-08,6.43835123646999e-07,"BraA01004368","BraA01004368","AT3G10185","AT3G10185","Gibberellin-regulated family protein","-","-"
"BraA10002589",-6.31546049914632,5.06147953044879,79.8812796979789,4.26378317119614e-08,6.44523458039794e-07,"BraA10002589","BraA10002589","AT5G05270","CHIL","Chalcone-flavanone isomerase family protein","-","-"
"BraA08001744",-8.07646329462282,3.021225256895,79.7651624549676,4.31071250508802e-08,6.50992053551489e-07,"BraA08001744","BraA08001744","AT4G33790","CER4","Jojoba acyl CoA reductase-related male sterility protein","-","-"
"BraA08000920",-3.14066756158337,7.5219841652922,79.620963108596,4.36979095196183e-08,6.58471450233689e-07,"BraA08000920","BraA08000920","AT5G33320","CUE1","Glucose-6-phosphate/phosphate translocator-like protein","-","YES"
"BraA03002020",-3.01333293476051,3.02755204946344,79.479041851832,4.42881449449661e-08,6.63731665575225e-07,"BraA03002020","BraA03002020","AT2G36870","XTH32","xyloglucan endotransglucosylase/hydrolase 32","-","-"
"BraA03002118",4.05181586238527,6.38015534342043,79.451538091744,4.44035504060996e-08,6.6419607337489e-07,"BraA03002118","BraA03002118","AT2G38400","AGT3","alanine:glyoxylate aminotransferase 3","-","YES"
"BraA06004382",3.45919191206688,4.87656007036297,79.4150069604636,4.45573508508395e-08,6.65302916829105e-07,"BraA06004382","BraA06004382","AT3G25590","AT3G25590","micronuclear linker histone polyprotein-like protein","-","-"
"BraA03004194",4.32891723850406,4.47295564684362,79.0430371600821,4.61574907307594e-08,6.84575187690132e-07,"BraA03004194","BraA03004194","AT3G20250","PUM5","pumilio 5","-","-"
"BraA04001002",-4.68280168215157,10.3645582468955,78.9675206587923,4.64900746794592e-08,6.88210550475983e-07,"BraA04001002","BraA04001002","AT5G35630","GS2","glutamine synthetase 2","-","YES"
"BraA03005327",3.8470218808338,3.06025952450739,78.9476541514851,4.65780103733882e-08,6.8886425868011e-07,"BraA03005327","BraA03005327","AT4G21980","APG8A","Ubiquitin-like superfamily protein","-","YES"
"BraA04001511",-8.78804463719686,4.91848553935796,78.9002270333449,4.67886855234249e-08,6.89847766074652e-07,"BraA04001511","BraA04001511","AT2G21140","PRP2","proline-rich protein 2","-","-"
"BraA06001089",-3.76863122571634,4.52515020687035,78.7740767185156,4.73542200921868e-08,6.95766580178013e-07,"BraA06001089","BraA06001089","AT1G48600","PMEAMT","S-adenosyl-L-methionine-dependent methyltransferases superfamily protein","-","-"
"BraA07001531",-3.47146067139125,5.26299375983298,78.6911460874946,4.77301302829821e-08,6.99330847423656e-07,"BraA07001531","BraA07001531","AT4G10480","AT4G10480","Nascent polypeptide-associated complex (NAC), alpha subunit family protein","-","-"
"BraA07003925",3.47519223260495,6.0023736808856,78.6123291809295,4.80904645374672e-08,7.03954930196823e-07,"BraA07003925","BraA07003925","AT1G77000","SKP2B","RNI-like superfamily protein","-","-"
"BraA09004421",-4.45872828221079,5.10979193251689,78.5208057662703,4.85126827077921e-08,7.07033406286494e-07,"BraA09004421","BraA09004421","AT3G50060","MYB77","myb domain protein 77","YES","-"
"BraA05000484",-5.81051071984409,5.27926956942802,78.4879199595775,4.86653954802393e-08,7.07175063885312e-07,"BraA05000484","BraA05000484","AT4G04020","FIB","fibrillin","-","YES"
"BraA10000085",3.36016753714435,7.29914143880208,78.375451279979,4.91917148347945e-08,7.12781606482805e-07,"BraA10000085","BraA10000085","AT1G01060","LHY","Homeodomain-like superfamily protein","YES","YES"
"BraA03001380",-4.51551641747884,4.79445017532745,78.296795956883,4.95635503877128e-08,7.15731930269414e-07,"BraA03001380","BraA03001380","AT2G20515","AT2G20515","pollen Ole e I family allergen protein","-","-"
"BraA03005543",-3.16631752773178,7.73140163813118,78.2930197556027,4.95814803105988e-08,7.15731930269414e-07,"BraA03005543","BraA03005543","AT4G24770","RBP31","31-kDa RNA binding protein","-","YES"
"BraA08002477",-5.82384389757918,4.69577765335686,78.2742254964146,4.96708251492303e-08,7.15769326509421e-07,"BraA08002477","BraA08002477","AT2G21790","RNR1","ribonucleotide reductase 1","-","YES"
"BraA05001818",-4.17161438216154,5.89212968953931,78.1887462499166,5.00794396662608e-08,7.2033826562e-07,"BraA05001818","BraA05001818","AT4G14070","AAE15","acyl-activating enzyme 15","-","-"
"BraA09001751",-3.91328919183734,9.7464935551004,78.1747236063773,5.01468272305662e-08,7.2058914921674e-07,"BraA09001751","BraA09001751","AT1G60950","FED A","2Fe-2S ferredoxin-like superfamily protein","-","-"
"BraA06003370",-3.6306416832912,6.28711073940446,78.1157630035648,5.04312727491964e-08,7.22098733377028e-07,"BraA06003370","BraA06003370","AT5G65890","ACR1","ACT domain repeat 1","-","-"
"BraA05002716",-7.47092909245446,2.52288630291418,97.1549125347059,5.05961066108986e-08,7.23800303299183e-07,"BraA05002716","BraA05002716","AT5G38410","RBCS3B","Ribulose bisphosphate carboxylase (small chain) family protein","-","YES"
"BraA06000854",-4.21370249747573,8.11444530185364,77.9019207923655,5.14780400020122e-08,7.32421733699515e-07,"BraA06000854","BraA06000854","AT1G52230","PSAH2","photosystem I subunit H2","-","-"
"BraA05003665",-4.75113411370462,3.1690820615446,77.8490973238097,5.17403112499088e-08,7.35488290721378e-07,"BraA05003665","BraA05003665","AT3G14450","CID9","CTC-interacting domain 9","-","-"
"BraA03000503",3.77324596120509,7.60854054565938,77.4844338857451,5.35918522239439e-08,7.54312510372077e-07,"BraA03000503","BraA03000503","AT5G11520","ASP3","aspartate aminotransferase 3","-","YES"
"BraA10002414",-4.22290941932911,5.74134611576277,77.4275785534075,5.3887099405574e-08,7.57113746648315e-07,"BraA10002414","BraA10002414","AT5G11740","AGP15","arabinogalactan protein 15","-","-"
"BraA02001944",-10.8738772949785,3.53404187466601,118.13888979689,5.45754671845933e-08,7.62117449272087e-07,"BraA02001944","BraA02001944","AT5G36910","THI2.2","thionin 2.2","-","-"
"BraA07000643",-7.01372656006361,5.47874467009543,77.2177115981579,5.49926592765907e-08,7.67167097851446e-07,"BraA07000643","BraA07000643","AT2G05790","AT2G05790","O-Glycosyl hydrolases family 17 protein","-","-"
"BraA03001683",3.51962273119587,6.72223584480142,76.7856131500654,5.73490483317043e-08,7.92296134737815e-07,"BraA03001683","BraA03001683","AT2G30070","KT1","potassium transporter 1","-","-"
"BraA09001072",3.3307124736716,6.82227277793371,76.7175740629209,5.77301992727459e-08,7.9618090776155e-07,"BraA09001072","BraA09001072","AT2G14170","ALDH6B2","aldehyde dehydrogenase 6B2","-","-"
"BraA06000355",-3.75583571438622,6.88006602603949,76.5526497457173,5.86658129356892e-08,8.05554303975572e-07,"BraA06000355","BraA06000355","AT5G43750","PnsB5","NAD(P)H dehydrogenase 18","-","-"
"BraA02002503",3.06539552231563,3.59406852444016,76.4047433227414,5.95192099426277e-08,8.13722230805551e-07,"BraA02002503","BraA02002503","AT1G75800","AT1G75800","Pathogenesis-related thaumatin superfamily protein","-","-"
"BraA05004539",3.65086977425301,6.47255937137853,76.3888355653152,5.96118126205696e-08,8.14280801560142e-07,"BraA05004539","BraA05004539","AT3G03870","AT3G03870","transmembrane protein","-","-"
"BraA04000722",-5.15383901522495,4.91803497016326,76.3156222039859,6.00400702560965e-08,8.18000472337606e-07,"BraA04000722","BraA04000722","AT3G52500","AT3G52500","Eukaryotic aspartyl protease family protein","-","-"
"BraA07003413",-5.8162119315019,8.80724298406556,76.227515529945,6.05599777930889e-08,8.22946295813513e-07,"BraA07003413","BraA07003413","AT1G70820","AT1G70820","phosphoglucomutase, putative / glucose phosphomutase","-","-"
